uid,db,ID
U3KPV4,GeneCards,A3GALT2
Q5T5F5,GeneCards,ADAMTSL4-AS1
Q9NPC4,GeneCards,A4GALT
Q9UNA3,GeneCards,A4GNT
P05067,GeneCards,APP
Q96GX2,GeneCards,ATXN7L3B
P30542,GeneCards,ADORA1
P29274,GeneCards,ADORA2A
P29275,GeneCards,ADORA2B
P0DMS8,GeneCards,ADORA3
Q9NS82,GeneCards,SLC7A10
P22760,GeneCards,AADAC
Q9NRG9,GeneCards,AAAS
Q15758,GeneCards,SLC1A5
Q86V21,GeneCards,AACS
P01011,GeneCards,SERPINA3
Q8N5Z0,GeneCards,AADAT
Q6PD74,GeneCards,AAGAB
Q2M2I8,GeneCards,AAK1
Q9Y478,GeneCards,PRKAB1
O43741,GeneCards,PRKAB2
P54619,GeneCards,PRKAG1
Q9UGJ0,GeneCards,PRKAG2
Q9UGI9,GeneCards,PRKAG3
Q9H7C9,GeneCards,AAMDC
Q13685,GeneCards,AAMP
Q13131,GeneCards,PRKAA1
P54646,GeneCards,PRKAA2
Q9Y312,GeneCards,AAR2
Q4LEZ3,GeneCards,AARD
P86434,GeneCards,ADORA2A-AS1
Q9BTE6,GeneCards,AARSD1
Q9BTE6,GeneCards,PTGES3L-AARSD1
Q9UDR5,GeneCards,AASS
Q8NHS2,GeneCards,GOT1L1
P17174,GeneCards,GOT1
Q9NY61,GeneCards,AATF
P00505,GeneCards,GOT2
Q7Z5M8,GeneCards,ABHD12B
Q96GS6,GeneCards,ABHD17A
Q5VST6,GeneCards,ABHD17B
Q6PCB6,GeneCards,ABHD17C
Q7Z5R6,GeneCards,APBB1IP
P31941,GeneCards,APOBEC3A
Q9UH17,GeneCards,APOBEC3B
Q9NRW3,GeneCards,APOBEC3C
Q96AK3,GeneCards,APOBEC3D
Q8IUX4,GeneCards,APOBEC3F
Q9HC16,GeneCards,APOBEC3G
Q6NTF7,GeneCards,APOBEC3H
O95477,GeneCards,ABCA1
Q9BZC7,GeneCards,ABCA2
Q99758,GeneCards,ABCA3
P78363,GeneCards,ABCA4
Q8WWZ7,GeneCards,ABCA5
Q8N139,GeneCards,ABCA6
Q8IZY2,GeneCards,ABCA7
O94911,GeneCards,ABCA8
Q8IUA7,GeneCards,ABCA9
Q8WWZ4,GeneCards,ABCA10
Q86UK0,GeneCards,ABCA12
Q86UQ4,GeneCards,ABCA13
Q2M3G0,GeneCards,ABCB5
Q9NP58,GeneCards,ABCB6
O75027,GeneCards,ABCB7
Q9NP78,GeneCards,ABCB9
Q9NRK6,GeneCards,ABCB10
O95342,GeneCards,ABCB11
Q09428,GeneCards,ABCC8
O60706,GeneCards,ABCC9
P33897,GeneCards,ABCD1
Q9UBJ2,GeneCards,ABCD2
P28288,GeneCards,ABCD3
O14678,GeneCards,ABCD4
P61221,GeneCards,ABCE1
Q8NE71,GeneCards,ABCF1
Q9UG63,GeneCards,ABCF2
Q9NUQ8,GeneCards,ABCF3
P45844,GeneCards,ABCG1
Q9UNQ0,GeneCards,ABCG2
Q9H172,GeneCards,ABCG4
Q9H222,GeneCards,ABCG5
Q9H221,GeneCards,ABCG8
Q8N2K0,GeneCards,ABHD12
Q0P651,GeneCards,ABHD18
P41238,GeneCards,APOBEC1
Q9Y235,GeneCards,APOBEC2
Q8WW27,GeneCards,APOBEC4
Q6UXT9,GeneCards,ABHD15
Q96SE0,GeneCards,ABHD1
P08910,GeneCards,ABHD2
Q8WU67,GeneCards,ABHD3
Q8TB40,GeneCards,ABHD4
Q8WTS1,GeneCards,ABHD5
Q9BV23,GeneCards,ABHD6
Q96I13,GeneCards,ABHD8
Q9NUJ1,GeneCards,ABHD10
Q8NFV4,GeneCards,ABHD11
Q7L211,GeneCards,ABHD13
Q9BUJ0,GeneCards,ABHD14A
Q96IU4,GeneCards,ABHD14B
O95870,GeneCards,ABHD16A
Q9H3Z7,GeneCards,ABHD16B
Q8IZP0,GeneCards,ABI1
Q9NYB9,GeneCards,ABI2
Q9P2A4,GeneCards,ABI3
Q9NX38,GeneCards,ABITRAM
P00519,GeneCards,ABL1
P42684,GeneCards,ABL2
O14639,GeneCards,ABLIM1
Q6H8Q1,GeneCards,ABLIM2
O94929,GeneCards,ABLIM3
Q9P1F3,GeneCards,ABRACL
Q8N0Z2,GeneCards,ABRA
Q6UWZ7,GeneCards,ABRAXAS1
Q15018,GeneCards,ABRAXAS2
Q12979,GeneCards,ABR
Q9ULW3,GeneCards,ABT1
Q969K4,GeneCards,ABTB1
Q8N961,GeneCards,ABTB2
A6QL63,GeneCards,BTBD11
Q13085,GeneCards,ACACA
O00763,GeneCards,ACACB
Q9UKU7,GeneCards,ACAD8
Q9H845,GeneCards,ACAD9
P28330,GeneCards,ACADL
P11310,GeneCards,ACADM
P16219,GeneCards,ACADS
P49748,GeneCards,ACADVL
Q15027,GeneCards,ACAP1
Q15057,GeneCards,ACAP2
Q96P50,GeneCards,ACAP3
O00400,GeneCards,SLC33A1
Q8NC06,GeneCards,ACBD4
Q5T8D3,GeneCards,ACBD5
Q9BR61,GeneCards,ACBD6
Q8N6N7,GeneCards,ACBD7
Q96GR2,GeneCards,ACSBG1
Q5FVE4,GeneCards,ACSBG2
P07108,GeneCards,DBI
Q6JQN1,GeneCards,ACAD10
Q709F0,GeneCards,ACAD11
P45954,GeneCards,ACADSB
Q96AP0,GeneCards,ACD
Q9BYF1,GeneCards,ACE2
Q8TDN7,GeneCards,ACER1
Q5QJU3,GeneCards,ACER2
Q9NUN7,GeneCards,ACER3
P22303,GeneCards,ACHE
P12821,GeneCards,ACE
Q9GZZ6,GeneCards,CHRNA10
Q15822,GeneCards,CHRNA2
P32297,GeneCards,CHRNA3
P43681,GeneCards,CHRNA4
P30532,GeneCards,CHRNA5
Q15825,GeneCards,CHRNA6
P36544,GeneCards,CHRNA7
Q9UGM1,GeneCards,CHRNA9
P02708,GeneCards,CHRNA1
P17787,GeneCards,CHRNB2
Q05901,GeneCards,CHRNB3
P30926,GeneCards,CHRNB4
P11230,GeneCards,CHRNB1
Q07001,GeneCards,CHRND
Q04844,GeneCards,CHRNE
P07510,GeneCards,CHRNG
Q9UKV3,GeneCards,ACIN1
Q07912,GeneCards,TNK2
Q6P4H8,GeneCards,ATPSCKMT
Q16570,GeneCards,ACKR1
O00590,GeneCards,ACKR2
P25106,GeneCards,ACKR3
Q9NPB9,GeneCards,ACKR4
Q5JWF8,GeneCards,ACTL10
O96019,GeneCards,ACTL6A
O94805,GeneCards,ACTL6B
Q9Y615,GeneCards,ACTL7A
Q9Y614,GeneCards,ACTL7B
P53396,GeneCards,ACLY
P11229,GeneCards,CHRM1
P08172,GeneCards,CHRM2
P20309,GeneCards,CHRM3
P08173,GeneCards,CHRM4
P08912,GeneCards,CHRM5
Q8TDX5,GeneCards,ACMSD
Q8WXI4,GeneCards,ACOT11
Q8WYK0,GeneCards,ACOT12
Q9NPJ3,GeneCards,ACOT13
P21399,GeneCards,ACO1
Q99798,GeneCards,ACO2
Q86TX2,GeneCards,ACOT1
P49753,GeneCards,ACOT2
Q8N9L9,GeneCards,ACOT4
Q3I5F7,GeneCards,ACOT6
O14734,GeneCards,ACOT8
Q9Y305,GeneCards,ACOT9
Q15067,GeneCards,ACOX1
Q99424,GeneCards,ACOX2
O15254,GeneCards,ACOX3
Q9NUZ1,GeneCards,ACOXL
Q6ZNF0,GeneCards,ACP7
P13798,GeneCards,APEH
O14561,GeneCards,NDUFAB1
Q8NEB7,GeneCards,ACRBP
P10323,GeneCards,ACR
Q08AH3,GeneCards,ACSM2A
Q68CK6,GeneCards,ACSM2B
Q9NUB1,GeneCards,ACSS1
Q9NR19,GeneCards,ACSS2
Q96CM8,GeneCards,ACSF2
Q4G176,GeneCards,ACSF3
Q4L235,GeneCards,AASDH
P33121,GeneCards,ACSL1
O95573,GeneCards,ACSL3
O60488,GeneCards,ACSL4
Q9ULC5,GeneCards,ACSL5
Q9UKU0,GeneCards,ACSL6
Q08AH1,GeneCards,ACSM1
Q53FZ2,GeneCards,ACSM3
P0C7M7,GeneCards,ACSM4
Q6NUN0,GeneCards,ACSM5
Q6P461,GeneCards,ACSM6
Q9H6R3,GeneCards,ACSS3
P62736,GeneCards,ACTA2
Q562R1,GeneCards,ACTBL2
Q9BYX7,GeneCards,POTEKP
P60709,GeneCards,ACTB
P68032,GeneCards,ACTC1
P63261,GeneCards,ACTG1
Q01718,GeneCards,MC2R
P63267,GeneCards,ACTG2
Q9H568,GeneCards,ACTL8
Q8TC94,GeneCards,ACTL9
Q5BKX5,GeneCards,C19orf54
P12814,GeneCards,ACTN1
P35609,GeneCards,ACTN2
Q08043,GeneCards,ACTN3
O43707,GeneCards,ACTN4
P68133,GeneCards,ACTA1
Q8TDG2,GeneCards,ACTRT1
Q8TDY3,GeneCards,ACTRT2
Q9BYD9,GeneCards,ACTRT3
P42025,GeneCards,ACTR1B
P61163,GeneCards,ACTR1A
P36896,GeneCards,ACVR1B
Q8NER5,GeneCards,ACVR1C
P37023,GeneCards,ACVRL1
Q04771,GeneCards,ACVR1
Q03154,GeneCards,ACY1
P45381,GeneCards,ASPA
Q96HD9,GeneCards,ACY3
P07311,GeneCards,ACYP1
P14621,GeneCards,ACYP2
O14672,GeneCards,ADAM10
O75078,GeneCards,ADAM11
O43184,GeneCards,ADAM12
Q13444,GeneCards,ADAM15
P78536,GeneCards,ADAM17
Q9Y3Q7,GeneCards,ADAM18
Q9H013,GeneCards,ADAM19
P35348,GeneCards,ADRA1A
P35368,GeneCards,ADRA1B
P25100,GeneCards,ADRA1D
O43506,GeneCards,ADAM20
Q9UKJ8,GeneCards,ADAM21
Q9P0K1,GeneCards,ADAM22
O75077,GeneCards,ADAM23
Q9UKQ2,GeneCards,ADAM28
Q9UKF5,GeneCards,ADAM29
P08913,GeneCards,ADRA2A
P18089,GeneCards,ADRA2B
P18825,GeneCards,ADRA2C
Q9NZK5,GeneCards,ADA2
Q9UKF2,GeneCards,ADAM30
Q8TC27,GeneCards,ADAM32
Q9BZ11,GeneCards,ADAM33
Q96M93,GeneCards,ADAD1
Q8NCV1,GeneCards,ADAD2
Q6DHV7,GeneCards,ADAL
Q99965,GeneCards,ADAM2
Q6NVV9,GeneCards,ADAM5
Q9H2U9,GeneCards,ADAM7
P78325,GeneCards,ADAM8
Q13443,GeneCards,ADAM9
O75689,GeneCards,ADAP1
Q9NPF8,GeneCards,ADAP2
A8MUL3,GeneCards,ADARB2-AS1
O00116,GeneCards,AGPS
Q9BUB4,GeneCards,ADAT1
Q7Z6V5,GeneCards,ADAT2
Q96EY9,GeneCards,ADAT3
P00813,GeneCards,ADA
Q86TW2,GeneCards,ADCK1
Q7Z695,GeneCards,ADCK2
Q3MIX3,GeneCards,ADCK5
Q6P093,GeneCards,AADACL2
Q5VUY0,GeneCards,AADACL3
Q5VUY2,GeneCards,AADACL4
Q08828,GeneCards,ADCY1
Q08462,GeneCards,ADCY2
O60266,GeneCards,ADCY3
Q8NFM4,GeneCards,ADCY4
O95622,GeneCards,ADCY5
O43306,GeneCards,ADCY6
P51828,GeneCards,ADCY7
P40145,GeneCards,ADCY8
O60503,GeneCards,ADCY9
Q96PN6,GeneCards,ADCY10
P35611,GeneCards,ADD1
P35612,GeneCards,ADD2
Q9UEY8,GeneCards,ADD3
O15204,GeneCards,ADAMDEC1
Q8N7X0,GeneCards,ADGB
P07327,GeneCards,ADH1A
P00325,GeneCards,ADH1B
P00326,GeneCards,ADH1C
P08319,GeneCards,ADH4
P28332,GeneCards,ADH6
P40394,GeneCards,ADH7
P11766,GeneCards,ADH5
Q0VDE8,GeneCards,ADIG
Q5T7M4,GeneCards,C1QTNF12
Q15848,GeneCards,ADIPOQ
Q9Y2D8,GeneCards,SSX2IP
Q15847,GeneCards,ADIRF
P55263,GeneCards,ADK
Q7Z4H4,GeneCards,ADM2
C9JUS6,GeneCards,ADM5
P35318,GeneCards,ADM
Q6IQ32,GeneCards,ADNP2
Q9H2P0,GeneCards,ADNP
Q9BRR6,GeneCards,ADPGK
Q9NRN7,GeneCards,AASDHPPT
P54922,GeneCards,ADPRH
Q3LIE5,GeneCards,ADPRM
Q9NX46,GeneCards,ADPRS
P08588,GeneCards,ADRB1
P07550,GeneCards,ADRB2
P13945,GeneCards,ADRB3
Q16186,GeneCards,ADRM1
P22570,GeneCards,FDXR
P12235,GeneCards,SLC25A4
P05141,GeneCards,SLC25A5
P12236,GeneCards,SLC25A6
Q9H0C2,GeneCards,SLC25A31
Q96IZ2,GeneCards,ADTRP
P10109,GeneCards,FDX1
Q8IUX7,GeneCards,AEBP1
Q6ZN18,GeneCards,AEBP2
Q96SZ5,GeneCards,ADO
Q6UXC1,GeneCards,MAMDC4
Q8WTP8,GeneCards,AEN
P55197,GeneCards,MLLT10
P55198,GeneCards,MLLT6
Q8TED9,GeneCards,AFAP1L1
Q8N4X5,GeneCards,AFAP1L2
Q13015,GeneCards,MLLT11
P42568,GeneCards,MLLT3
P55196,GeneCards,AFDN
P43652,GeneCards,AFM
Q8N556,GeneCards,AFAP1
Q9Y6Z5,GeneCards,AFDN-DT
P51825,GeneCards,AFF1
P51816,GeneCards,AFF2
P51826,GeneCards,AFF3
Q9UHB7,GeneCards,AFF4
Q8WV93,GeneCards,AFG1L
Q9Y4W6,GeneCards,AFG3L2
Q6ULP2,GeneCards,AFTPH
Q5BKT4,GeneCards,ALG10
Q5I7T1,GeneCards,ALG10B
C9J202,GeneCards,ALG1L2
Q8TF27,GeneCards,AGAP11
P06280,GeneCards,GLA
Q9UPQ3,GeneCards,AGAP1
Q99490,GeneCards,AGAP2
Q96P47,GeneCards,AGAP3
Q96P64,GeneCards,AGAP4
A6NIR3,GeneCards,AGAP5
Q5VW22,GeneCards,AGAP6
Q5VUJ5,GeneCards,AGAP7P
Q5VTM2,GeneCards,AGAP9
P52594,GeneCards,AGFG1
O95081,GeneCards,AGFG2
Q8N302,GeneCards,AGGF1
Q9H0P7,GeneCards,AGPAT4-IT1
Q53H12,GeneCards,AGK
O95394,GeneCards,PGM3
Q9UL18,GeneCards,AGO1
Q9UKV8,GeneCards,AGO2
Q9H9G7,GeneCards,AGO3
Q9HCK5,GeneCards,AGO4
O95994,GeneCards,AGR2
Q8TD06,GeneCards,AGR3
Q86SQ6,GeneCards,ADGRA1
Q96PE1,GeneCards,ADGRA2
Q8IWK6,GeneCards,ADGRA3
O14514,GeneCards,ADGRB1
O60241,GeneCards,ADGRB2
O60242,GeneCards,ADGRB3
Q6QNK2,GeneCards,ADGRD1
Q7Z7M1,GeneCards,ADGRD2
Q14246,GeneCards,ADGRE1
Q9UHX3,GeneCards,ADGRE2
Q9BY15,GeneCards,ADGRE3
Q86SQ3,GeneCards,ADGRE4P
P48960,GeneCards,ADGRE5
Q5T601,GeneCards,ADGRF1
Q8IZF7,GeneCards,ADGRF2
Q8IZF5,GeneCards,ADGRF3
Q8IZF3,GeneCards,ADGRF4
Q8IZF2,GeneCards,ADGRF5
Q9Y653,GeneCards,ADGRG1
Q8IZP9,GeneCards,ADGRG2
Q86Y34,GeneCards,ADGRG3
Q8IZF6,GeneCards,ADGRG4
Q8IZF4,GeneCards,ADGRG5
Q86SQ4,GeneCards,ADGRG6
Q96K78,GeneCards,ADGRG7
O00468,GeneCards,AGRN
O94910,GeneCards,ADGRL1
O95490,GeneCards,ADGRL2
Q9HAR2,GeneCards,ADGRL3
Q9HBW9,GeneCards,ADGRL4
O00253,GeneCards,AGRP
Q8WXG9,GeneCards,ADGRV1
P21549,GeneCards,AGXT
Q9BYV1,GeneCards,AGXT2
P30556,GeneCards,AGTR1
P50052,GeneCards,AGTR2
Q5TGY3,GeneCards,AHDC1
Q8N157,GeneCards,AHI1
Q8IVF2,GeneCards,AHNAK2
Q09666,GeneCards,AHNAK
A9YTQ3,GeneCards,AHRR
P35869,GeneCards,AHR
O95433,GeneCards,AHSA1
Q719I0,GeneCards,AHSA2P
Q9NZD4,GeneCards,AHSP
Q9GZX7,GeneCards,AICDA
Q96BJ3,GeneCards,AIDA
Q9BQI0,GeneCards,AIF1L
P55008,GeneCards,AIF1
O95831,GeneCards,AIFM1
Q96NN9,GeneCards,AIFM3
Q9NVV5,GeneCards,AIG1
O14862,GeneCards,AIM2
Q12904,GeneCards,AIMP1
Q13155,GeneCards,AIMP2
Q16352,GeneCards,INA
Q9NZN9,GeneCards,AIPL1
O00170,GeneCards,AIP
O43918,GeneCards,AIRE
Q9UKB5,GeneCards,AJAP1
C9J069,GeneCards,AJM1
Q96IF1,GeneCards,AJUBA
Q02040,GeneCards,AKAP17A
P14550,GeneCards,AKR1A1
O60218,GeneCards,AKR1B10
C9JRZ8,GeneCards,AKR1B15
Q04828,GeneCards,AKR1C1
P52895,GeneCards,AKR1C2
P42330,GeneCards,AKR1C3
P17516,GeneCards,AKR1C4
P51857,GeneCards,AKR1D1
Q53H64,GeneCards,ANKRD40CL
O43572,GeneCards,AKAP10
Q9UKA4,GeneCards,AKAP11
Q02952,GeneCards,AKAP12
Q86UN6,GeneCards,AKAP14
O43687,GeneCards,AKAP7
Q9P0M2,GeneCards,AKAP7
P0CW23,GeneCards,AKAIN1
Q92667,GeneCards,AKAP1
Q9Y2D5,GeneCards,AKAP2
O75969,GeneCards,AKAP3
Q5JQC9,GeneCards,AKAP4
P24588,GeneCards,AKAP5
Q13023,GeneCards,AKAP6
O43823,GeneCards,AKAP8
Q99996,GeneCards,AKAP9
Q5T2L2,GeneCards,AKR1C8
Q96JD6,GeneCards,AKR1E2
Q495B1,GeneCards,ANKDD1A
A6NHY2,GeneCards,ANKDD1B
Q9P2G1,GeneCards,ANKIB1
Q9NQ31,GeneCards,AKIP1
Q9NWT8,GeneCards,AURKAIP1
Q9H9L7,GeneCards,AKIRIN1
Q53H80,GeneCards,AKIRIN2
Q7Z591,GeneCards,AKNA
Q5T1N1,GeneCards,AKNAD1
Q12802,GeneCards,AKAP13
Q9ULX6,GeneCards,AKAP8L
P31749,GeneCards,AKT1
P31751,GeneCards,AKT2
Q9Y243,GeneCards,AKT3
Q9H8T0,GeneCards,AKTIP
Q96B36,GeneCards,AKT1S1
Q8N8R7,GeneCards,ARL14EP
P00352,GeneCards,ALDH1A1
O94788,GeneCards,ALDH1A2
P47895,GeneCards,ALDH1A3
P30837,GeneCards,ALDH1B1
O75891,GeneCards,ALDH1L1
Q3SY69,GeneCards,ALDH1L2
Q60I27,GeneCards,ALS2CL
P30838,GeneCards,ALDH3A1
P51648,GeneCards,ALDH3A2
P43353,GeneCards,ALDH3B1
P48448,GeneCards,ALDH3B2
P30038,GeneCards,ALDH4A1
P20292,GeneCards,ALOX5AP
P49419,GeneCards,ALDH7A1
Q9H2A2,GeneCards,ALDH8A1
P49189,GeneCards,ALDH9A1
P24298,GeneCards,GPT
Q8TD30,GeneCards,GPT2
P02768,GeneCards,ALB
P05091,GeneCards,ALDH2
P04075,GeneCards,ALDOA
P05062,GeneCards,ALDOB
P09972,GeneCards,ALDOC
P15121,GeneCards,AKR1B1
P84996,GeneCards,GNAS
Q2TAA5,GeneCards,ALG11
Q9BV10,GeneCards,ALG12
Q9NP73,GeneCards,ALG13
Q96F25,GeneCards,ALG14
Q9BT22,GeneCards,ALG1
Q9H553,GeneCards,ALG2
Q92685,GeneCards,ALG3
Q9Y673,GeneCards,ALG5
Q9Y672,GeneCards,ALG6
Q9BVK2,GeneCards,ALG8
Q9H6U8,GeneCards,ALG9
Q13686,GeneCards,ALKBH1
Q6NS38,GeneCards,ALKBH2
Q96Q83,GeneCards,ALKBH3
Q9NXW9,GeneCards,ALKBH4
Q6P6C2,GeneCards,ALKBH5
Q3KRA9,GeneCards,ALKBH6
Q9BT30,GeneCards,ALKBH7
Q96BT7,GeneCards,ALKBH8
Q6UXT8,GeneCards,ALKAL1
Q6UX46,GeneCards,ALKAL2
Q6ZNB7,GeneCards,AGMO
Q9UM73,GeneCards,ALK
Q8N6M5,GeneCards,ALLC
Q8TCU4,GeneCards,ALMS1
Q96QP1,GeneCards,ALPK1
Q86TB3,GeneCards,ALPK2
Q96L96,GeneCards,ALPK3
P55789,GeneCards,GFER
Q96Q42,GeneCards,ALS2
P35858,GeneCards,IGFALS
Q15699,GeneCards,ALX1
O95076,GeneCards,ALX3
Q9H161,GeneCards,ALX4
Q9UHK6,GeneCards,AMACR
Q9NP70,GeneCards,AMBN
P02760,GeneCards,AMBP
P19021,GeneCards,PAM
Q99217,GeneCards,AMELX
Q99218,GeneCards,AMELY
Q5JTC6,GeneCards,AMER1
Q8N7J2,GeneCards,AMER2
Q8N944,GeneCards,AMER3
Q6DCA0,GeneCards,AMMECR1L
Q9UKV5,GeneCards,AMFR
Q86WK6,GeneCards,AMIGO1
Q86SJ2,GeneCards,AMIGO2
Q86WK7,GeneCards,AMIGO3
Q16671,GeneCards,AMHR2
Q9Y4X0,GeneCards,AMMECR1
Q8IY45,GeneCards,AMN1
Q9BXJ7,GeneCards,AMN
Q8IY63,GeneCards,AMOTL1
Q9Y2J4,GeneCards,AMOTL2
Q4VCS5,GeneCards,AMOT
Q9H4A4,GeneCards,RNPEP
P23109,GeneCards,AMPD1
Q01433,GeneCards,AMPD2
Q01432,GeneCards,AMPD3
Q07075,GeneCards,ENPEP
P49418,GeneCards,AMPH
P28838,GeneCards,LAP3
P15144,GeneCards,ANPEP
Q8N6M6,GeneCards,AOPEP
Q6Q4G3,GeneCards,LVRN
Q9C0C7,GeneCards,AMBRA1
P30533,GeneCards,LRPAP1
Q6UX39,GeneCards,AMTN
P0DUB6,GeneCards,AMY1A
P0DTE7,GeneCards,AMY1B
P0DTE8,GeneCards,AMY1C
P19961,GeneCards,AMY2B
P04746,GeneCards,AMY2A
Q400G9,GeneCards,AMZ1
Q86W34,GeneCards,AMZ2
Q8IZ07,GeneCards,ANKRD13A
Q86YJ7,GeneCards,ANKRD13B
Q8N6S4,GeneCards,ANKRD13C
Q6ZTN6,GeneCards,ANKRD13D
Q8IVF6,GeneCards,ANKRD18A
A2A2Z9,GeneCards,ANKRD18B
Q5CZ79,GeneCards,ANKRD20A8P
Q9BXX3,GeneCards,ANKRD30A
Q9BXX2,GeneCards,ANKRD30B
P39687,GeneCards,ANP32A
Q92688,GeneCards,ANP32B
O43423,GeneCards,ANP32C
O95626,GeneCards,ANP32D
Q9BTT0,GeneCards,ANP32E
A6NCL7,GeneCards,ANKRD33B
Q69YU3,GeneCards,ANKRD34A
A5PLL1,GeneCards,ANKRD34B
P0C6C1,GeneCards,ANKRD34C
A6QL64,GeneCards,ANKRD36
Q8N2N9,GeneCards,ANKRD36B
Q5JPF3,GeneCards,ANKRD36C
P54802,GeneCards,NAGLU
Q9UJX6,GeneCards,ANAPC2
Q96K21,GeneCards,ZFYVE19
P10275,GeneCards,AR
P16860,GeneCards,NPPB
P23582,GeneCards,NPPC
Q9P2R3,GeneCards,ANKFY1
P01160,GeneCards,NPPA
Q9UNK9,GeneCards,ANGEL1
Q5VTE6,GeneCards,ANGEL2
P03950,GeneCards,ANG
O95841,GeneCards,ANGPTL1
Q9UKU9,GeneCards,ANGPTL2
Q9Y5C1,GeneCards,ANGPTL3
Q9BY76,GeneCards,ANGPTL4
Q86XS5,GeneCards,ANGPTL5
Q8NI99,GeneCards,ANGPTL6
O43827,GeneCards,ANGPTL7
Q6UXH0,GeneCards,ANGPTL8
Q15389,GeneCards,ANGPT1
O15123,GeneCards,ANGPT2
Q9Y264,GeneCards,ANGPT4
P01019,GeneCards,AGT
E9PGG2,GeneCards,ANHX
P16157,GeneCards,ANK1
Q01484,GeneCards,ANK2
Q12955,GeneCards,ANK3
Q7Z5J8,GeneCards,ANKAR
Q9NU02,GeneCards,ANKEF1
Q8N957,GeneCards,ANKFN1
Q8IWZ3,GeneCards,ANKHD1
Q9HCJ1,GeneCards,ANKH
Q8NFD2,GeneCards,ANKK1
Q8NAG6,GeneCards,ANKLE1
Q86XL3,GeneCards,ANKLE2
Q9BQD7,GeneCards,ANTKMT
Q15327,GeneCards,ANKRD1
Q9GZV1,GeneCards,ANKRD2
Q9Y2G4,GeneCards,ANKRD6
Q92527,GeneCards,ANKRD7
Q96BM1,GeneCards,ANKRD9
Q6ZW76,GeneCards,ANKS3
Q68DC2,GeneCards,ANKS6
A6NFN9,GeneCards,ANKUB1
Q9P2S6,GeneCards,ANKMY1
Q8IV38,GeneCards,ANKMY2
Q9H8Y5,GeneCards,ANKZF1
Q9NQW6,GeneCards,ANLN
Q99873,GeneCards,PRMT1
P55345,GeneCards,PRMT2
O60678,GeneCards,PRMT3
O14744,GeneCards,PRMT5
Q96LA8,GeneCards,PRMT6
Q9NVM4,GeneCards,PRMT7
