uidA,uidB,ConfidenceA,ConfidenceB,PPI_type
Q15628,Q15628,84.91,84.91,1
O43592,Q99759,91.63,67.2,1
P07437,Q9NYJ8,91.86,53.03,1
B2ZZ89,Q9Y572,,,1
A8K6K3,A0A024RD80,77.07,82.98,1
A0A024R1N6,P20265,51.53,62.86,1
Q9Y6K9,Q9NY65,82.83,91.91,1
P11142,P41279,89.18,74.45,1
O43175,B2RE76,92.85,74.19,1
Q00653,A0A024QZD1,76.08,95.4,1
Q9Y4K3,Q13200,86.19,64.29,1
Q99558,P62277,61.29,94.16,1
P19438,O15397,71.68,87.36,1
Q99832,Q99759,89.04,67.2,1
Q00653,A0A1U9X7W7,76.08,89.35,1
P25054,Q5JTC6,,,1
Q7Z406,O15111,74.65,84.64,1
P43357,Q13263,71.72,67.51,1
Q71U36,Q00653,91.89,76.08,1
Q15653,Q04864,77.34,66.88,1
A0A024R8H5,P27708,87.27,87.41,1
Q9Y4K3,P0CG47,86.19,93.71,1
Q15796,A0A024R274,78.16,72.97,1
Q99558,P11021,61.29,90.33,1
Q99558,A0A024RCA7,61.29,67.98,1
Q3ZCQ8,P20333,80.56,67.53,1
Q99963,Q5JPT6,88.79,57.79,1
O15111,P04350,84.64,92.24,1
Q9Y294,G4XH65,85.05,65.17,1
P19438,O43592,71.68,91.63,1
P12236,Q99759,91.79,67.2,1
A0A140VK70,Q9Y4K3,80.46,86.19,1
A0A1U9X974,Q07021,,,1
Q9Y6K9,Q99759,82.83,67.2,1
P19438,P05023,71.68,88.7,1
Q9UHD2,P04350,89.88,92.24,1
Q9NYJ8,P42677,53.03,92.78,1
Q99558,Q13895,61.29,78.75,1
P19438,P12236,71.68,91.79,1
P19438,P63261,71.68,95.34,1
K7PPA8,P03070,71.76,,1
Q9UHD2,A7MCY6,89.88,65.35,1
P20333,O95831,67.53,85.79,1
A8K4C8,Q13233,95.34,59.63,1
Q9ULX6,Q99759,56.09,67.2,1
Q00653,A0A024RBK3,76.08,83.09,1
P55084,A0A0S2Z4Z8,90.88,75.22,1
Q00653,P07910,76.08,71.56,1
Q9UBT7,Q00722,84.52,84.81,1
O95243,Q92734,60.44,60.73,1
A8K6K3,Q9NYJ8,77.07,53.03,1
P19838,Q04206,74.5,73.46,1
P01375,P19438,85.01,71.68,1
O95411,Q9Y572,39.23,67.62,1
P05141,P20333,91.43,67.53,1
Q14974,Q01201,94.92,69.8,1
B2RDW1,Q9Y4K3,89.19,86.19,1
Q93009,Q01201,86.44,69.8,1
Q96LI5,P50616,89.64,67.09,1
O15111,Q99558,84.64,61.29,1
A0A024R6B5,A0A0S2Z4Z8,89.38,75.22,1
P58107,P20333,,,1
Q12824-2,Q01201,,,1
P12236,Q13233,91.79,59.63,1
Q3ZCQ8,Q99759,80.56,67.2,1
Q3ZCQ8,O14920,80.56,86.45,1
Q00653,E9KL44,76.08,91.62,1
A0A024R475,B2RNT7,88.45,82.42,1
Q92844,A0A384P5G6,60.39,84.94,1
Q14697,A0A1U9X974,93.17,,1
B2R491,Q13233,95.46,59.63,1
Q549M8,Q9Y3I0,67.88,95.56,1
Q13233,Q15758,59.63,79.59,1
Q96S55,P28223,72.19,73.91,1
P11142,Q01201,89.18,69.8,1
Q96KQ4,Q07666,61.87,65.65,1
Q9Y5R2,Q9R064,74.74,64.66,1
Q15653,P19338,77.34,62.53,1
Q13233,Q9H1R3,59.63,68.79,1
O15111,P19105,84.64,84.14,1
Q00653,Q04864,76.08,66.88,1
P20333,O95816,67.53,86.84,1
A0A024R3Z2,A0A024RDS3,77.9,,1
P62136,Q99759,91.55,67.2,1
P26998,A0A024R429,87.7,92.79,1
P0DPH7,Q14164,91.52,88.66,1
Q9BUF5,Q99759,92.16,67.2,1
Q9UNE7,A0A024R8H5,89.79,87.27,1
A0A384MEJ3,Q9Y572,59.09,67.62,1
Q9Y230,Q13233,84.33,59.63,1
Q13233,O95831,59.63,85.79,1
P20265,P20226,62.86,78.47,1
O43318-2,A0A384P5G6,,,1
Q99558,A0A0S2Z491,61.29,71.03,1
Q9Y6K9,E5KNY5,82.83,,1
A8K6K3,P51617,77.07,70.39,1
Q13233,P42677,59.63,92.78,1
P27708,Q99759,87.41,67.2,1
P11142,Q15628,89.18,84.91,1
A0A1U9X974,Q9UHI6,,,1
O00411,Q00653,83.78,76.08,1
Q9Y4K3,P0DPH7,86.19,91.52,1
P61758,Q99759,87.2,67.2,1
P78527,Q99759,,,1
O43318-2,Q9BVA1,,,1
P63261,A0A024QZU0,95.34,65.18,1
Q99558,P32969,61.29,94.08,1
Q13509,Q99759,91.48,67.2,1
A0A024RAZ7,Q9Y572,65.39,67.62,1
Q99558,A0A024RD80,61.29,82.98,1
Q13233,Q05639,59.63,88.74,1
A0A384N5Z8,Q9UHD2,64.85,89.88,1
Q99558,P46783,61.29,75.14,1
A0A024R8H5,Q14164,87.27,88.66,1
P62879,Q9Y572,97.18,67.62,1
A0A024R1Q8,Q99759,92.61,67.2,1
Q13077,P31689,79.79,83.35,1
A0A0S2Z4Z9,Q01201,73.66,69.8,1
P0DPH7,Q04864,91.52,66.88,1
P62280,Q99558,88.29,61.29,1
P62952,G4XH65,62.65,65.17,1
P0DPH7,O14920,91.52,86.45,1
Q69YQ0,Q9Y572,66.8,67.62,1
P43320,P43320,89.38,89.38,1
A8K6K3,P04350,77.07,92.24,1
P11142,Q13233,89.18,59.63,1
A0A024R7B7,Q13233,79.77,59.63,1
P0DPH7,Q15653,91.52,77.34,1
Q15653,K9JA46,77.34,84.41,1
P15535,P15291,84.82,85.25,1
Q15653,Q00610,77.34,78.04,1
Q99558,P31689,61.29,83.35,1
A0A1U9X777,A0A0S2Z5V7,88.64,76.86,1
Q01813,P20333,92.45,67.53,1
P08670,A0A0S2Z4Z8,78.28,75.22,1
P52272,Q99558,56.56,61.29,1
P15924,Q14164,,,1
Q14164,Q14164,88.66,88.66,1
Q969T4,A0A024RCQ4,85.3,67.97,1
Q15628,P78527,84.91,,1
P16083,Q01201,98.17,69.8,1
P53618,P20333,82.21,67.53,1
Q99759,Q99759,67.2,67.2,1
P25963,P25963,82.58,82.58,1
Q9Y572,P06753,67.62,91.79,1
Q9Y3A6,Q9IH62,82.26,,1
Q8N163,Q99759,68.6,67.2,1
A0A140VK83,Q86X45,86.49,74.68,1
P62277,Q13233,94.16,59.63,1
P63261,A0A024R8H5,95.34,87.27,1
P22102,Q8IXJ6,92.65,82.86,1
Q09472,P20265,54.7,62.86,1
P17844,Q9Y572,76.97,67.62,1
O43318-2,P31689,,,1
P11142,P25963,89.18,82.58,1
P05141,Q99759,91.43,67.2,1
A0A0S2Z3Y1,Q9NYJ8,79.23,53.03,1
P52907,Q9Y6K9,93.51,82.83,1
Q99558,P41252,61.29,88.87,1
P35580,O14920,75.49,86.45,1
P11142,Q99759,89.18,67.2,1
Q13233,Q13233,59.63,59.63,1
Q99558,P62424,61.29,91.28,1
O75530,Q15910,87.34,76.6,1
A0A024QZS4,A0A024R2B3,87.75,73.23,1
Q00610,Q01201,78.04,69.8,1
Q9NTJ3,Q9Y6K9,81.9,82.83,1
A0A024QZM6,Q15436,79.22,92.72,1
Q9NRI5,Q99689,64.74,68.67,1
Q16643,Q9Y6K9,63.04,82.83,1
P33176,Q9Y6K9,79.42,82.83,1
P48047,Q9Y6K9,83.36,82.83,1
Q00653,Q05639,76.08,88.74,1
A0A024RB53,A0A1U9X777,70.45,88.64,1
A0A384N5Z8,Q13077,64.85,79.79,1
Q13077,P0CG47,79.79,93.71,1
A0A024R7B7,O14920,79.77,86.45,1
P27348,Q99759,93.99,67.2,1
P19438,P60660,71.68,95.37,1
P0DPH7,Q99759,91.52,67.2,1
A0A024R8H5,P0CG47,87.27,93.71,1
P60660,Q14164,95.37,88.66,1
Q13233,P11021,59.63,90.33,1
A0A0S2Z489,Q9Y4K3,78.11,86.19,1
Q07021,Q01201,75.82,69.8,1
P11142,Q14164,89.18,88.66,1
P02511,P02511,75.3,75.3,1
P60866,Q99558,85.63,61.29,1
Q9Y448,Q7LBR1,68.65,81.24,1
Q07021,Q15628,75.82,84.91,1
A2A3R6,Q99558,94,61.29,1
Q9BTW9,Q9Y6K9,90.55,82.83,1
Q9BXW9,P19438,77.51,71.68,1
Q00653,K9JA46,76.08,84.41,1
Q00653,Q3ZCQ8,76.08,80.56,1
Q9NYJ8,P0CG47,53.03,93.71,1
P07737,P60709,95.81,95.51,1
P35580,Q9Y572,75.49,67.62,1
A0A1U9X777,Q9BVK8,88.64,92.52,1
Q99558,P46776,61.29,93.67,1
A0A140VKA6,Q99759,80.79,67.2,1
Q9Y6K9,K9JA46,82.83,84.41,1
P19838,Q15653,74.5,77.34,1
Q9UHD2,K9JA46,89.88,84.41,1
P97329,O95235,66.39,67.3,1
P19438,P62249,71.68,93.87,1
P11021,A0A024QZU0,90.33,65.18,1
Q15075,Q8BL66,72.82,73.31,1
Q13077,O95816,79.79,86.84,1
P05141,Q15628,91.43,84.91,1
A0A140VK54,Q9Y3E7,83.4,81.92,1
Q99558,O76021,61.29,67.86,1
L7RRS6,A0A024R1K7,66.05,93.46,1
Q00653,P62249,76.08,93.87,1
Q92844,A0A1U9X7W7,60.39,89.35,1
Q99558,A0A1U9X7W7,61.29,89.35,1
Q9R064,A0A024R6U8,64.66,71.7,1
Q9Y6K9,A0A024R3T8,82.83,77.9,1
A0A1U9X7W7,Q9Y572,89.35,67.62,1
B2R4C5,O14920,93.7,86.45,1
P05213,P31689,91.96,83.35,1
Q92844,Q9UHD2,60.39,89.88,1
Q9NYJ8,K9JA46,53.03,84.41,1
Q9Y6K9,P27708,82.83,87.41,1
P20333,P21333,67.53,77.38,1
Q99558,B2R4W8,61.29,91.81,1
Q00653,A0A024R9C1,76.08,73.21,1
Q14257,Q13233,78.27,59.63,1
A8K4C8,Q00653,95.34,76.08,1
P02765,O88736,77.92,91.13,1
P41279,B2ZZ89,74.45,,1
Q9UFF9,P62324,90.83,81.96,1
A0A1U9X777,P03901,88.64,88.57,1
P37231,P37231,76.15,76.15,1
P63208,Q9UKB1,90.26,86.14,1
Q05639,Q15628,88.74,84.91,1
A0A384NKX5,Q99558,88.81,61.29,1
Q9NRI5,Q70YC5,64.74,67.35,1
Q6P1N0,Q96CF2,75.07,77.36,1
Q9Y4K3,Q8WY22,86.19,64.39,1
P52272,Q00653,56.56,76.08,1
A0A1U9X974,P46092,,,1
P07437,Q99558,91.86,61.29,1
Q9UN36,G4XH65,84.32,65.17,1
P63261,Q99759,95.34,67.2,1
Q9Y6K9,P0CG47,82.83,93.71,1
P19438,P54136,71.68,92.24,1
Q15653,B2RTY4,77.34,58.99,1
Q9Y572,P31689,67.62,83.35,1
Q99558,P18124,61.29,94.06,1
Q99558,O14920,61.29,86.45,1
P20333,P0CG47,67.53,93.71,1
P19438,P03126,71.68,,1
P63208,P25963,90.26,82.58,1
Q5D1E8,A2A288,67.42,69.92,1
Q9NVI7,Q9Y572,79.47,67.62,1
Q9Y572,P62140,67.62,91.99,1
Q9HCI5,Q13263,56.43,67.51,1
Q9UHD2,P50991,89.88,89.16,1
Q14164,A0A384P5G6,88.66,84.94,1
Q9UBI6,Q9Y572,89.76,67.62,1
O15516,Q03164,61.96,,1
Q9UIV1,Q9ULM6,91.4,90.02,1
P25398,Q99558,81.6,61.29,1
P58107,P41279,,,1
P19438,A0A024R1N1,71.68,,1
Q6ZRQ5,Q96HA7,81.84,76.49,1
A0A024RCQ4,A0A024R2K3,67.97,84.76,1
Q9UHD2,Q9UHD2,89.88,89.88,1
Q99558,A0A024R9C1,61.29,73.21,1
Q9Y6K9,Q05639,82.83,88.74,1
Q13813,Q99759,76.34,67.2,1
B2R4C5,Q15653,93.7,77.34,1
Q01201,Q4VC05,69.8,63.48,1
P55072,Q15653,83.37,77.34,1
P20333,P53007,67.53,75.08,1
Q9H6T3,Q99759,75.83,67.2,1
Q9NYJ8,O43318,53.03,69.95,1
Q13077,Q3ZCQ8,79.79,80.56,1
P19438,P35580,71.68,75.49,1
Q92616,P20333,82.59,67.53,1
P20333,A8K3L7,67.53,89.31,1
P19438,Q92616,71.68,82.59,1
P19838,Q01201,74.5,69.8,1
P49450,Q8NCD3,82.08,46.45,1
Q9NYJ8,Q00610,53.03,78.04,1
Q9Y6K9,Q13263,82.83,67.51,1
P20333,P20333,67.53,67.53,1
A0A024R8H5,Q05639,87.27,88.74,1
A0A024RBB6,Q16254,87.37,66.83,1
P36578,Q99558,87.77,61.29,1
P62917,Q99558,94.87,61.29,1
Q9BZE0,A0A024R2Q3,54.12,79.9,1
Q9Y618,Q13573,40.78,78.17,1
A0A024RCR3,A0A024QZF1,67.61,58.15,1
O94818,A0A024R4S0,65.16,75.42,1
Q00653,Q9BQG0,76.08,75.1,1
Q13233,P27635,59.63,94.87,1
O95816,Q99759,86.84,67.2,1
Q9Y6K9,P61247,82.83,84.38,1
P48643,Q99759,89.4,67.2,1
Q9Y4K3,Q05639,86.19,88.74,1
P27708,Q01201,87.41,69.8,1
O60684,Q01201,85.93,69.8,1
O15111,O15111,84.64,84.64,1
Q00610,Q99759,78.04,67.2,1
Q00653,P62847,76.08,89.14,1
P07437,Q04864,91.86,66.88,1
A0A1U9X777,P13164,88.64,64.09,1
P27708,Q15628,87.41,84.91,1
D5MQE1,Q99759,92.77,67.2,1
P62241,Q99558,92.85,61.29,1
P20333,Q71UM5,67.53,93.16,1
A0A0R4J2E8,Q99759,51.41,67.2,1
A0A024R8H5,Q00610,87.27,78.04,1
A0A0S2Z3Y1,Q15628,79.23,84.91,1
Q07021,O14920,75.82,86.45,1
Q14974,P20333,94.92,67.53,1
Q9H9T3,P25963,92,82.58,1
P50616,A0A024R4R3,67.09,65.57,1
Q9HD26,P30872,70.55,79.2,1
Q13233,P19338,59.63,62.53,1
P49842,Q02447,70.6,38.5,1
Q13233,P27708,59.63,87.41,1
Q02809,Q99759,93.1,67.2,1
Q01105,P06454,79.44,58.8,1
Q9UHD2,P11021,89.88,90.33,1
Q13077,A0A024RBB7,79.79,77.14,1
Q00653,P62277,76.08,94.16,1
Q01201,Q8NFD5,69.8,47.98,1
Q06609,P27694,91.59,85.41,1
A0A024RAQ1,Q99558,56.17,61.29,1
K7PPA8,Q9H422,71.76,52.63,1
P58107,Q13233,,,1
O00482,Q15466,72.86,82.34,1
Q9Y572,P78371,67.62,89.67,1
Q99558,P42766,61.29,94.59,1
Q9BXW9,Q9Y4K3,77.51,86.19,1
Q8N163,Q15628,68.6,84.91,1
Q00653,P27708,76.08,87.41,1
A8K4C8,Q99558,95.34,61.29,1
P02489,P02489,75.31,75.31,1
P19438,A0A024R1Q8,71.68,92.61,1
Q92844,P0DPH7,60.39,91.52,1
P30154,Q99759,93.39,67.2,1
P51610,Q9BTC0,48.22,47.51,1
O43318-2,P04350,,,1
P05556,E9KL35,86.03,89.39,1
Q99558,P54136,61.29,92.24,1
Q13233,P0DPH7,59.63,91.52,1
P19438,A0A024RBH9,71.68,75.04,1
Q61026,Q4FZB7,48.28,55.1,1
Q9ULZ3,Q96P20,71.88,81.74,1
A8K6K3,A0A1U9X7W7,77.07,89.35,1
Q86YC2,P38398,53.93,41.68,1
A0A024R8H5,P11021,87.27,90.33,1
P41279,Q00610,74.45,78.04,1
P15924,P41279,,,1
B3KNF6,P20333,73.91,67.53,1
Q9Y266,Q99759,81.86,67.2,1
Q07021,Q99759,75.82,67.2,1
Q13077,Q13077,79.79,79.79,1
A0A024R8H5,A0A024RBB7,87.27,77.14,1
Q9UHB6-3,Q9Y572,,,1
P63261,O15111,95.34,84.64,1
Q8N3F8,P51153,59.4,84.79,1
Q9Y4K3,A0A140VJS3,86.19,81.39,1
O15397,P20333,87.36,67.53,1
P52272,Q9UHD2,56.56,89.88,1
P05141,Q9Y572,91.43,67.62,1
O15111,A0A024RD80,84.64,82.98,1
Q06609,P07737,91.59,95.81,1
Q9Y6K9,Q01105,82.83,79.44,1
Q99558,A2RUM7,61.29,94.34,1
Q06609,P60709,91.59,95.51,1
P20333,O14980,67.53,91.62,1
O15111,Q05639,84.64,88.74,1
Q9UIV1,P50616,91.4,67.09,1
Q9UPV0,Q53HC0,63.23,74.04,1
Q99558,P62847,61.29,89.14,1
Q9Y230,Q9Y572,84.33,67.62,1
P19438,O95816,71.68,86.84,1
O43318-2,A0A1U9X7W7,,,1
Q13576,Q15653,79.37,77.34,1
Q9UHD2,A0A384P5G6,89.88,84.94,1
K9JA46,Q9Y572,84.41,67.62,1
P07437,P41279,91.86,74.45,1
Q15653,P20226,77.34,78.47,1
O95816,Q96CW5,86.84,74.45,1
P29692,Q9Y572,73.43,67.62,1
Q9Y230,Q99759,84.33,67.2,1
Q9NYJ8,P0DPH7,53.03,91.52,1
A0A024QZU0,A0A384P5G6,65.18,84.94,1
Q9Y572,P0CG47,67.62,93.71,1
P55084,Q00653,90.88,76.08,1
Q13077,P23284,79.79,91.93,1
P52907,Q99759,93.51,67.2,1
Q99471,Q99759,92.58,67.2,1
P11142,Q00653,89.18,76.08,1
Q99608,Q13263,69.43,67.51,1
Q00653,P78527,76.08,,1
P57678,A0A0S2Z4Z8,84.73,75.22,1
A0A1U9X777,A0A024RCQ4,88.64,67.97,1
P23470,A0A024R5H6,73,62.46,1
P19438,Q9BVA1,71.68,91.95,1
P19438,P53675,71.68,77.15,1
P20333,A0A0S2Z591,67.53,57.12,1
A0A1U9X974,Q16891,,,1
Q02383,Q15131,31.32,85.27,1
Q9UHD2,P62269,89.88,88.98,1
Q13233,P0CG47,59.63,93.71,1
P41252,Q15653,88.87,77.34,1
Q00653,P62263,76.08,90.01,1
Q9UHD2,A0A024R8H5,89.88,87.27,1
P19438,P23396,71.68,91.34,1
P07437,O14920,91.86,86.45,1
P18848,Q9NRI5,63.06,64.74,1
Q9Y572,Q05639,67.62,88.74,1
A8K6K3,P11021,77.07,90.33,1
P19438,P31689,71.68,83.35,1
A0A024RBB7,A0A024RCC9,77.14,78.93,1
P78527,Q01201,,,1
Q9Y4K3,O43734-2,86.19,,1
P41134-2,O14936,,,1
Q71U36,Q15653,91.89,77.34,1
P48201,A0A1U9X777,70.83,88.64,1
A0A024R1N1,O00255-2,,,1
Q9BUL8,Q9NZZ3,90.91,79.85,1
Q9Y572,P78527,67.62,,1
P43320,A0A024R429,89.38,92.79,1
P43320,A0A0X8GLL6,89.38,96.4,1
G4XH65,A0A0S2Z591,65.17,57.12,1
Q99558,A0A024R7B7,61.29,79.77,1
P46937,Q13625-2,58,,1
A0A024QZU0,P31689,65.18,83.35,1
Q8IZL2,P46531,46.83,57.5,1
Q13233,P18124,59.63,94.06,1
P53597,Q7LBR1,92.01,81.24,1
Q9NPP4,Q9ULZ3,85.16,71.88,1
Q99460,Q9Y4K3,80.33,86.19,1
P20333,A0A0S2Z3H3,67.53,91.21,1
Q00653,P56192,76.08,90.47,1
P61247,Q99558,84.38,61.29,1
Q9UHD2,A0A024R4Q8,89.88,88.76,1
P11021,Q9Y572,90.33,67.62,1
P07437,A0A024QZU0,91.86,65.18,1
Q9Y6K9,Q71UM5,82.83,93.16,1
Q14257,Q15628,78.27,84.91,1
O15516,O00327,61.96,67.04,1
Q13077,A0A024R8H5,79.79,87.27,1
P62249,Q99759,93.87,67.2,1
P20333,Q05639,67.53,88.74,1
A0A1U9X777,Q15424,88.64,54.36,1
P33981,P33981,63.95,63.95,1
Q99558,P62249,61.29,93.87,1
P41279,A0A1U9X7W7,74.45,89.35,1
Q9UHD2,Q9H6S1,89.88,69.94,1
P62280,Q13233,88.29,59.63,1
O43318-2,A0A024RD80,,,1
P49368,Q99759,89.09,67.2,1
P19438,P0DPH7,71.68,91.52,1
P55072,Q9Y4K3,83.37,86.19,1
Q9R064,A0A024RC70,64.66,82.93,1
P25963,A0A384P5G6,82.58,84.94,1
P20333,A0A1U9X7W7,67.53,89.35,1
P52272,Q15653,56.56,77.34,1
Q9Y2Z0,Q99759,77.17,67.2,1
Q9Y613,A0A024RCQ4,70.48,67.97,1
A0A384MEJ3,P50616,59.09,67.09,1
P07437,Q9Y4K3,91.86,86.19,1
Q9NYJ8,A0A024R6B5,53.03,89.38,1
Q13257,P20333,93.76,67.53,1
Q13233,K9JA46,59.63,84.41,1
Q00653,F4ZW62,76.08,89.38,1
Q01201,A7E2E1,69.8,,1
P49842,A0A024R1E6,70.6,80.05,1
Q495M9,A0A0S2Z4U9,69.83,77.91,1
P49842,Q99808,70.6,87.91,1
P51571,P19438,88.74,71.68,1
P17844,Q99558,76.97,61.29,1
A0A024R6I1,Q6PJQ5,51.88,67.8,1
P63261,Q13077,95.34,79.79,1
P20333,O43175,67.53,92.85,1
Q00653,P31689,76.08,83.35,1
Q99832,Q9Y572,89.04,67.62,1
Q00653,P41252,76.08,88.87,1
A0A1U9X777,O75391,88.64,85.69,1
P26998,P26998,87.7,87.7,1
Q9NYJ8,A0A384MEJ3,53.03,59.09,1
Q15653,Q2L6J2,77.34,78.96,1
Q8NFZ5,Q04864,81.84,66.88,1
K9JA46,O14920,84.41,86.45,1
P0CG47,Q01201,93.71,69.8,1
P50616,Q07666,67.09,65.65,1
A0A1U9X7W7,Q9Y4K3,89.35,86.19,1
Q9BVA1,Q9Y572,91.95,67.62,1
A0A024R625,Q8TF05,94.91,73.59,1
A0A097PIJ6,P53674,90.01,82.37,1
Q99558,A0A024R4Q8,61.29,88.76,1
A0A024QZU0,A0A024RD80,65.18,82.98,1
Q99558,P27708,61.29,87.41,1
P20333,P29508,67.53,90,1
A8K6K3,Q99615,77.07,90.52,1
Q99814,O00327,59.42,67.04,1
A0A024RC65,Q99759,,,1
P22607,A0A024RCP6,75.37,69.59,1
Q9UII4,Q4FZB7,86.81,55.1,1
P12236,Q15628,91.79,84.91,1
P97784,A2I2P5,83.95,59.48,1
Q00653,P62269,76.08,88.98,1
Q92844,P04264,60.39,67.31,1
O15397,Q15628,87.36,84.91,1
P05813,P26998,88.4,87.7,1
D0PNI2,Q9UBK9,64.41,88.07,1
O43318-2,Q9NYJ8,,,1
Q9Y6K9,E9KL35,82.83,89.39,1
Q9BVA1,A0A0S2Z4Z8,91.95,75.22,1
A0A024QZ26,Q01201,76.05,69.8,1
A0A024RAH0,Q99759,65.82,67.2,1
A0A024R071,Q99P88,,,1
A0A024QZU0,K9JA46,65.18,84.41,1
A0A1U9X7W7,P25963,89.35,82.58,1
Q9Y230,Q9UHD2,84.33,89.88,1
O15111,Q99759,84.64,67.2,1
Q96S38,A0A024RCR3,57.07,67.61,1
A4D0W0,Q9Y333,95.04,94.61,1
P05141,Q13077,91.43,79.79,1
A0A024R8H5,Q15628,87.27,84.91,1
O43318-2,Q13451,,,1
Q15596,F1D8Q5,48.46,75.08,1
Q92664,Q9NZZ3,72.1,79.85,1
A8K6K3,O43318-2,77.07,,1
Q9Y6K9,Q8IX12,82.83,69.28,1
P19438,P62987,71.68,93.48,1
Q9Y6K9,A0A0S2Z4A5,82.83,79.9,1
P19438,P11021,71.68,90.33,1
Q8N163,Q15653,68.6,77.34,1
Q9Y6K9,P04843,82.83,90.73,1
O95602,Q15653,80.66,77.34,1
P11142,A0A024QZU0,89.18,65.18,1
P20333,Q9H1R3,67.53,68.79,1
P19438,P17858,71.68,92.8,1
Q9Y572,A0A024RD80,67.62,82.98,1
Q9NP79,Q9NZZ3,79.48,79.85,1
Q96ST3,Q86YI8,69.69,64.46,1
Q13233,A0A024R9D3,59.63,85.45,1
P07437,Q13077,91.86,79.79,1
Q99558,Q07021,61.29,75.82,1
O15111,Q13451,84.64,92.88,1
A0A024RCR3,P78537,67.61,89.52,1
Q9Y230,A0A024R8H5,84.33,87.27,1
P52292,Q01201,86.11,69.8,1
P0DPH7,Q15628,91.52,84.91,1
Q13813,Q9Y572,76.34,67.62,1
P50990,Q99759,87.9,67.2,1
Q92585,P46531,47.7,57.5,1
P18124,Q15653,94.06,77.34,1
P19438,P78527,71.68,,1
A0A1U9X7W7,Q99759,89.35,67.2,1
P20333,P14625,67.53,82.47,1
Q9NYL9,Q99759,82.17,67.2,1
O15111,K9JA46,84.64,84.41,1
Q92844,Q00839,60.39,65.78,1
P41241,B2R6Q4,91.99,89.65,1
O94763,Q99759,63.9,67.2,1
