UniprotID,Protein_Accession
P37686,NZ_SSZK01000041.1
P37686,YP_026233.1
P37686,NC_000913.3
P0A9Q7,NP_415757.1
P0A9Q7,NC_000913.3
P0A9Q7,WP_000301651.1
P0A9Q7,NZ_STEB01000005.1
P39451,NP_415995.4
P39451,NC_000913.3
P39451,WP_000642433.1
P39451,NZ_SSZK01000038.1
P28629,NP_418541.2
P28629,NC_000913.3
P28629,WP_001381593.1
P28629,NZ_SSZK01000018.1
P60061,NP_418539.1
P60061,NC_000913.3
P60061,WP_000093154.1
P60061,NZ_STEB01000014.1
P33234,NP_418540.1
P33234,NC_000913.3
P33234,WP_001217060.1
P33234,NZ_SSZK01000018.1
Q93K97,NP_417506.1
Q93K97,NC_000913.3
Q93K97,WP_000917117.1
Q93K97,NZ_STEB01000001.1
P51981,NP_415841.4
P51981,NC_000913.3
P51981,WP_001261211.1
P51981,NZ_SSZK01000012.1
P37127,NP_416963.1
P37127,NC_000913.3
P37127,WP_001078880.1
P37127,NZ_LN832404.1
P50466,NP_417543.1
P50466,NC_000913.3
P50466,WP_000094721.1
P50466,NZ_LN832404.1
P23872,NP_415009.1
P23872,NC_000913.3
P23872,WP_000801813.1
P23872,NZ_SSZK01000009.1
P39180,WP_000820410.1
P39180,NZ_LN832404.1
P39180,YP_026164.1
P39180,NC_000913.3
P42912,NP_417610.1
P42912,NC_000913.3
P42912,WP_001311150.1
P42912,NZ_LN832404.1
P06720,NP_418543.1
P06720,NC_000913.3
P06720,WP_000986601.1
P06720,NZ_SSZK01000018.1
P0ACK2,NP_417600.1
P0ACK2,NC_000913.3
P0ACK2,WP_000072187.1
P0ACK2,NZ_STEB01000001.1
P42907,NP_417605.1
P42907,NC_000913.3
P42907,WP_001114869.1
P42907,NZ_LN832404.1
P19926,NP_415522.1
P19926,NC_000913.3
P19926,WP_001044279.1
P19926,NZ_SSZK01000002.1
P0AE08,NP_415138.1
P0AE08,NC_000913.3
P0AE08,WP_000052796.1
P0AE08,NZ_STEB01000031.1
P35340,NP_415139.2
P35340,NC_000913.3
P35340,WP_000887629.1
P35340,NZ_STEB01000031.1
P27250,NP_418690.4
P27250,NC_000913.3
P27250,WP_001309160.1
P27250,NZ_LN832404.1
P33224,NP_418608.6
P33224,NC_000913.3
P33224,WP_001350567.1
P33224,NZ_LN832404.1
P45565,NP_416755.1
P45565,NC_000913.3
P45565,WP_000879112.1
P45565,NZ_LN832404.1
P00561,NP_414543.1
P00561,NC_000913.3
P00561,WP_001264707.1
P00561,NZ_LN832404.1
P00562,NP_418375.1
P00562,NC_000913.3
P00562,WP_000110772.1
P00562,NZ_STEB01000037.1
P08660,NP_418448.1
P08660,NC_000913.3
P08660,WP_001290310.1
P08660,NZ_SSZK01000049.1
P77256,NP_416285.1
P77256,NC_000913.3
P77256,WP_000723710.1
P77256,NZ_SSZK01000001.1
P0A959,NP_416793.1
P0A959,NC_000913.3
P0A959,WP_000074527.1
P0A959,NZ_STEB01000008.1
P77434,NP_416880.1
P77434,NC_000913.3
P77434,WP_000785931.1
P77434,NZ_STEB01000008.1
P64550,NP_417156.1
P64550,NC_000913.3
P64550,WP_000492656.1
P64550,NZ_STEB01000042.1
P25553,NP_415933.1
P25553,NC_000913.3
P25553,WP_000115943.1
P25553,NZ_SSZK01000021.1
P37685,NP_418045.4
P37685,NC_000913.3
P37685,WP_000183980.1
P37685,NZ_SSZK01000041.1
P0A991,NP_416600.4
P0A991,NC_000913.3
P0A991,WP_000129551.1
P0A991,NZ_STEB01000002.1
P0AB71,NP_417400.1
P0AB71,NC_000913.3
P0AB71,WP_000034372.1
P0AB71,NZ_STEB01000001.1
P05050,NP_416716.1
P05050,NC_000913.3
P05050,WP_000884971.1
P05050,NZ_SSZK01000030.1
P0A955,NP_416364.1
P0A955,NC_000913.3
P0A955,WP_000800512.1
P0A955,NZ_STEB01000009.1
P77731,NP_415038.1
P77731,NC_000913.3
P77731,WP_000776377.1
P77731,NZ_LN832404.1
P77671,NP_415045.1
P77671,NC_000913.3
P77671,WP_000006900.1
P77671,NZ_SSZK01000024.1
P77425,NP_415049.1
P77425,NC_000913.3
P77425,WP_001310618.1
P77425,NZ_SSZK01000024.1
P77555,NP_415050.1
P77555,NC_000913.3
P77555,WP_000703900.1
P77555,NZ_SSZK01000024.1
P75713,NP_415048.1
P75713,NC_000913.3
P75713,WP_000540997.1
P75713,NZ_SSZK01000024.1
P75712,NP_415044.4
P75712,NC_000913.3
P75712,WP_000401100.1
P75712,NZ_SSZK01000024.1
P0ACN4,NP_415039.1
P0ACN4,NC_000913.3
P0ACN4,WP_000141275.1
P0ACN4,NZ_STEB01000007.1
P0ACR0,NP_415037.1
P0ACR0,NC_000913.3
P0ACR0,WP_000460145.1
P0ACR0,NZ_STEB01000007.1
P33997,NP_417113.1
P33997,NC_000913.3
P33997,WP_001065343.1
P33997,NZ_LN832404.1
P0A6B4,NP_418477.1
P0A6B4,NC_000913.3
P0A6B4,WP_001147328.1
P0A6B4,NZ_STEB01000022.1
P29012,NP_415708.1
P29012,NC_000913.3
P29012,WP_000197881.1
P29012,NZ_SSZK01000010.1
P32721,NP_418511.1
P32721,NC_000913.3
P32721,WP_000235257.1
P32721,NZ_SSZK01000016.1
P39265,NP_418512.1
P39265,NC_000913.3
P39265,WP_001046187.1
P39265,NZ_SSZK01000016.1
P32720,NP_418510.1
P32720,NC_000913.3
P32720,WP_000507106.1
P32720,NZ_SSZK01000016.1
P32719,NP_418509.1
P32719,NC_000913.3
P32719,WP_001311314.1
P32719,NZ_STEB01000014.1
P32718,NP_418508.1
P32718,NC_000913.3
P32718,WP_001171687.1
P32718,NZ_SSZK01000016.1
P42601,WP_001098806.1
P42601,NZ_STEB01000001.1
P42601,YP_026201.1
P42601,NC_000913.3
P36548,NP_416930.1
P36548,NC_000913.3
P36548,WP_000102886.1
P36548,NZ_LN832404.1
P26365,NP_418590.1
P26365,NC_000913.3
P26365,WP_000990333.1
P26365,NZ_STEB01000013.1
P63883,NP_417294.4
P63883,NC_000913.3
P63883,WP_000016907.1
P63883,NZ_STEB01000034.1
P75820,NP_415388.1
P75820,NC_000913.3
P75820,WP_001252135.1
P75820,NZ_SSZK01000002.1
P0AE12,NP_416489.1
P0AE12,NC_000913.3
P0AE12,WP_001060244.1
P0AE12,NZ_SSTS01000011.1
P46883,NP_415904.3
P46883,NC_000913.3
P46883,WP_000535469.1
P46883,NZ_SSZK01000012.1
P68767,NP_418681.1
P68767,NC_000913.3
P68767,WP_000397144.1
P68767,NZ_STEB01000013.1
P00811,NP_418574.1
P00811,NC_000913.3
P00811,WP_001336292.1
P00811,NZ_LN832404.1
P13016,NP_414652.1
P13016,NC_000913.3
P13016,WP_000923721.1
P13016,NZ_STEB01000010.1
P0AE14,NP_414653.1
P0AE14,NC_000913.3
P0AE14,WP_000172005.1
P0AE14,NZ_SSZK01000004.1
P0AE16,NP_414967.1
P0AE16,NC_000913.3
P0AE16,WP_000098429.1
P0AE16,NZ_SSZK01000009.1
P0AD70,NP_414910.1
P0AD70,NC_000913.3
P0AD70,WP_000830741.1
P0AD70,NZ_SSZK01000009.1
P04825,NP_415452.1
P04825,NC_000913.3
P04825,WP_000193841.1
P04825,NZ_SSZK01000002.1
P15034,NP_417384.1
P15034,NC_000913.3
P15034,WP_001290136.1
P15034,NZ_LN832404.1
P69681,NP_414985.1
P69681,NC_000913.3
P69681,WP_000685029.1
P69681,NZ_STEB01000007.1
P25718,NP_418028.1
P25718,NC_000913.3
P25718,WP_000761225.1
P25718,NZ_LN832404.1
P26612,NP_416437.1
P26612,NC_000913.3
P26612,WP_001245695.1
P26612,NZ_LN832404.1
P77570,NP_416157.1
P77570,NC_000913.3
P77570,WP_000835039.1
P77570,NZ_LN832404.1
P77610,NP_415970.4
P77610,NC_000913.3
P77610,WP_001300590.1
P77610,NZ_SSZK01000021.1
P62672,NP_414592.1
P62672,NC_000913.3
P62672,WP_000610901.1
P62672,NZ_STEB01000010.1
P05637,NP_414591.1
P05637,NC_000913.3
P05637,WP_000257192.1
P05637,NZ_STEB01000010.1
P0AF08,NP_416616.4
P0AF08,NC_000913.3
P0AF08,WP_001005448.1
P0AF08,NZ_STEB01000002.1
P0AB85,NP_416718.1
P0AB85,NC_000913.3
P0AB85,WP_000406064.1
P0AB85,NZ_SSZK01000030.1
P0AE22,NP_418479.1
P0AE22,NC_000913.3
P0AE22,WP_001226928.1
P0AE22,NZ_SSZK01000016.1
P26458,NP_415498.1
P26458,NC_000913.3
P26458,WP_000460803.1
P26458,NZ_SSZK01000002.1
P26459,NP_415497.1
P26459,NC_000913.3
P26459,WP_000263582.1
P26459,NZ_LN832404.1
P24244,WP_000270305.1
P24244,NZ_STEB01000006.1
P24244,YP_001165313.1
P24244,NC_000913.3
P05052,NP_415096.1
P05052,NC_000913.3
P05052,WP_000386784.1
P05052,NZ_LN832404.1
P69503,NP_415002.1
P69503,NC_000913.3
P69503,WP_000127356.1
P69503,NZ_STEB01000007.1
P60844,NP_415396.1
P60844,NC_000913.3
P60844,WP_001298299.1
P60844,NZ_SSZK01000002.1
P08202,NP_414604.1
P08202,NC_000913.3
P08202,WP_000151748.1
P08202,NZ_SSZK01000004.1
P08204,NP_414605.1
P08204,NC_000913.3
P08204,WP_000951856.1
P08204,NZ_STEB01000010.1
P0A9E0,NP_414606.1
P0A9E0,NC_000913.3
P0A9E0,WP_001300811.1
P0A9E0,NZ_STEB01000010.1
P08203,NP_414603.1
P08203,NC_000913.3
P08203,WP_000888666.1
P08203,NZ_STEB01000010.1
P0AE24,NP_417318.1
P0AE24,NC_000913.3
P0AE24,WP_000256438.1
P0AE24,NZ_SSUV01000026.1
P02924,NP_416414.1
P02924,NC_000913.3
P02924,WP_000548675.1
P02924,NZ_STEB01000026.1
P0AAF3,NP_416413.1
P0AAF3,NC_000913.3
P0AAF3,WP_001187819.1
P0AAF3,NZ_SSZK01000001.1
P0AE26,WP_000100205.1
P0AE26,NZ_SSZK01000001.1
P0AE26,YP_026162.2
P0AE26,NC_000913.3
P23910,NP_414930.3
P23910,NC_000913.3
P23910,WP_001326926.1
P23910,NZ_SSZK01000009.1
P0A9Q1,NP_418818.1
P0A9Q1,NC_000913.3
P0A9Q1,WP_001194358.1
P0A9Q1,NZ_STEB01000033.1
P0AEC3,WP_000809774.1
P0AEC3,NZ_STEB01000012.1
P0AEC3,YP_026207.1
P0AEC3,NC_000913.3
P37306,NP_415054.1
P37306,NC_000913.3
P37306,WP_000855379.1
P37306,NZ_LN832404.1
P0AAE5,NP_416122.1
P0AAE5,NC_000913.3
P0AAE5,WP_000412379.1
P0AAE5,NZ_STEB01000003.1
Q46807,NP_417350.1
Q46807,NC_000913.3
Q46807,WP_000037992.1
Q46807,NZ_STEB01000001.1
P77624,NP_414857.1
P77624,NC_000913.3
P77624,WP_000661672.1
P77624,NZ_SSZK01000063.1
P36675,WP_000092696.1
P36675,NZ_SSZK01000040.1
P36675,YP_588467.1
P36675,NC_000913.3
P40711,NP_414733.1
P40711,NC_000913.3
P40711,WP_000635537.1
P40711,NZ_SSZK01000004.1
P0A6C5,NP_417295.1
P0A6C5,NC_000913.3
P0A6C5,WP_000237947.1
P0A6C5,NZ_SSUV01000026.1
P0A6C8,NP_418394.3
P0A6C8,NC_000913.3
P0A6C8,WP_001302318.1
P0A6C8,NZ_STEB01000037.1
P11446,NP_418393.1
P11446,NC_000913.3
P11446,WP_000935370.1
P11446,NZ_STEB01000037.1
P18335,NP_417818.1
P18335,NC_000913.3
P18335,WP_000963792.1
P18335,NZ_SSZK01000008.1
P23908,NP_418392.1
P23908,NC_000913.3
P23908,WP_001298964.1
P23908,NZ_SSZK01000065.1
P27254,NP_417393.1
P27254,NC_000913.3
P27254,WP_000606525.1
P27254,NZ_SSZK01000003.1
P11667,NP_417398.1
P11667,NC_000913.3
P11667,WP_000493352.1
P11667,NZ_SSZK01000003.1
P0A8S1,NP_417391.1
P0A8S1,NC_000913.3
P0A8S1,WP_000828351.1
P0A8S1,NZ_STEB01000001.1
P0A6D0,NP_417704.1
P0A6D0,NC_000913.3
P0A6D0,WP_001257846.1
P0A6D0,NZ_STEB01000012.1
P09551,NP_416813.1
P09551,NC_000913.3
P09551,WP_000748271.1
P09551,NZ_LN832404.1
P75993,NP_415684.1
P75993,NC_000913.3
P75993,WP_000888772.1
P75993,NZ_SSZK01000010.1
P11447,NP_418395.1
P11447,NC_000913.3
P11447,WP_001230087.1
P11447,NZ_SSZK01000065.1
P77398,NP_416758.1
P77398,NC_000913.3
P77398,WP_000860273.1
P77398,NZ_LN832404.1
P77690,NP_416756.5
P77690,NC_000913.3
P77757,NP_416757.1
P77757,NC_000913.3
P77757,WP_000461657.1
P77757,NZ_LN832404.1
P76472,NP_416759.1
P76472,NC_000913.3
P76472,WP_000169728.1
P76472,NZ_LN832404.1
Q47377,WP_000638031.1
Q47377,NZ_STEB01000008.1
Q47377,YP_588462.1
Q47377,NC_000913.3
P76474,NP_416761.4
P76474,NC_000913.3
P76474,WP_000523880.1
P76474,NZ_STEB01000008.1
P76473,NP_416760.1
P76473,NC_000913.3
P76473,WP_000844057.1
P76473,NZ_STEB01000008.1
P0A6D3,NP_415428.1
P0A6D3,NC_000913.3
P0A6D3,WP_000445231.1
P0A6D3,NZ_STEB01000006.1
P07639,NP_417848.1
P07639,NC_000913.3
P07639,WP_000439848.1
P07639,NZ_SSZK01000008.1
P12008,NP_416832.1
P12008,NC_000913.3
P12008,WP_001333535.1
P12008,NZ_LN832404.1
P05194,NP_416208.1
P05194,NC_000913.3
P05194,WP_000860201.1
P05194,NZ_LN832404.1
P15770,NP_417740.1
P15770,NC_000913.3
P15770,WP_000451243.1
P15770,NZ_SSZK01000040.1
P00888,NP_417092.1
P00888,NC_000913.3
P00888,WP_001168037.1
P00888,NZ_LN832404.1
P0AB91,NP_415275.1
P0AB91,NC_000913.3
P0AB91,WP_001109196.1
P0AB91,NZ_SSZK01000002.1
P00887,NP_416219.1
P00887,NC_000913.3
P00887,WP_001082229.1
P00887,NZ_SSZK01000001.1
P0A6D7,WP_000818618.1
P0A6D7,NZ_STEB01000004.1
P0A6D7,YP_026215.2
P0A6D7,NC_000913.3
P0A6E1,NP_414922.1
P0A6E1,NC_000913.3
P0A6E1,WP_000193393.1
P0A6E1,NZ_STEB01000007.1
P0AE28,NP_414924.1
P0AE28,NC_000913.3
P0AE28,WP_001276420.1
P0AE28,NZ_SSZK01000009.1
P15993,NP_414654.1
P15993,NC_000913.3
P15993,WP_000969915.1
P15993,NZ_SSZK01000004.1
P23325,NP_418441.1
P23325,NC_000913.3
P23325,WP_000632913.1
P23325,NZ_LN832404.1
P0AB93,NP_417959.4
P0AB93,NC_000913.3
P0AB93,WP_000922639.1
P0AB93,NZ_SSZK01000042.1
P0CF87,WP_000065803.1
P0CF87,NZ_LN832404.1
P0AB96,NP_417960.1
P0AB96,NC_000913.3
P0AB96,WP_000065769.1
P0AB96,NZ_SSZK01000042.1
P37309,NP_417958.1
P37309,NC_000913.3
P37309,WP_000008957.1
P37309,NZ_STEB01000046.1
P18032,NP_061472.1
P18032,NC_002483.1
P18032,WP_000415566.1
P18032,NZ_CP014273.1
P18032,YP_008997936.1
P18032,NC_023315.1
P18032,YP_009071250.1
P18032,NC_025179.1
P30859,NP_415384.1
P30859,NC_000913.3
P30859,WP_000756569.1
P30859,NZ_STEB01000019.1
P30860,NP_415381.1
P30860,NC_000913.3
P30860,WP_001295339.1
P30860,NZ_LN832404.1
P0AE30,NP_415382.1
P0AE30,NC_000913.3
P0AE30,WP_000464491.1
P0AE30,NZ_STEB01000019.1
P0AAF6,NP_415385.1
P0AAF6,NC_000913.3
P0AAF6,WP_000027205.1
P0AAF6,NZ_STEB01000019.1
P0AE34,NP_415383.1
P0AE34,NC_000913.3
P0AE34,WP_001001691.1
P0AE34,NZ_SSZK01000002.1
P24240,NP_417196.1
P24240,NC_000913.3
P24240,WP_000110363.1
P24240,NZ_STEB01000027.1
P24242,NP_417194.2
P24242,NC_000913.3
P24242,WP_001394680.1
P24242,NZ_LN832404.1
P25549,NP_418245.1
P25549,NC_000913.3
P25549,WP_000395863.1
P25549,NZ_SSZK01000025.1
P25550,WP_000941517.1
P25550,NZ_SSZK01000025.1
P25550,YP_026259.1
P25550,NC_000913.3
P28249,NP_416568.1
P28249,NC_000913.3
P28249,WP_001252331.1
P28249,NZ_STEB01000002.1
P00963,NP_418200.1
P00963,NC_000913.3
P00963,WP_000845104.1
P00963,NZ_SSZK01000036.1
P00963,YP_006952153.1
P00963,NC_019049.1
P22106,NP_415200.1
P22106,NC_000913.3
P22106,WP_000337077.1
P22106,NZ_SSZK01000045.1
P0ACI6,NP_418199.1
P0ACI6,NC_000913.3
P0ACI6,WP_000432970.1
P0ACI6,NZ_STEB01000015.1
P0ACI6,YP_006952152.1
P0ACI6,NC_019049.1
P0AC38,NP_418562.4
P0AC38,NC_000913.3
P0AC38,WP_000069437.1
P0AC38,NZ_STEB01000014.1
P0A962,NP_416281.1
P0A962,NC_000913.3
P0A962,WP_001170162.1
P0A962,NZ_STEB01000009.1
P00805,NP_417432.1
P00805,NC_000913.3
P00805,WP_000394140.1
P00805,NZ_LN832404.1
P36560,NP_416114.2
P36560,NC_000913.3
P36560,WP_001340364.1
P36560,NZ_SSZK01000001.1
P0A6E4,NP_417640.1
P0A6E4,NC_000913.3
P0A6E4,WP_000207680.1
P0A6E4,NZ_SSZK01000007.1
P0AE37,NP_416261.1
P0AE37,NC_000913.3
P0AE37,WP_000989419.1
P0AE37,NZ_SSZK01000001.1
P76216,NP_416259.1
P76216,NC_000913.3
P76216,WP_000994973.1
P76216,NZ_SSZK01000001.1
P77581,NP_416262.1
P77581,NC_000913.3
P77581,WP_000081983.1
P77581,NZ_STEB01000009.1
P76217,NP_416260.1
P76217,NC_000913.3
P76217,WP_000177206.1
P76217,NZ_SSZK01000001.1
P76215,NP_416258.1
P76215,NC_000913.3
P76215,WP_000368506.1
P76215,NZ_SSZK01000001.1
P0A951,NP_416101.1
P0A951,NC_000913.3
P0A951,WP_001138581.1
P0A951,NZ_STEB01000003.1
P0AFP2,NP_414988.1
P0AFP2,NC_000913.3
P0AFP2,WP_001300427.1
P0AFP2,NZ_SSZK01000009.1
P0ABB8,NP_418663.1
P0ABB8,NC_000913.3
P0ABB8,WP_000471889.1
P0ABB8,NZ_LN832404.1
P76459,NP_416726.1
P76459,NC_000913.3
P76459,WP_000339065.1
P76459,NZ_SSZK01000030.1
P76461,NP_416728.1
P76461,NC_000913.3
P76461,WP_000786547.1
P76461,NZ_SSZK01000030.1
Q06065,NP_416724.1
Q06065,NC_000913.3
Q06065,WP_000125282.1
Q06065,NZ_LN832404.1
P76458,NP_416725.1
P76458,NC_000913.3
P76458,WP_000850540.1
P76458,NZ_STEB01000002.1
P76460,NP_416727.1
P76460,NC_000913.3
P76460,WP_000580275.1
P76460,NZ_STEB01000002.1
Q06067,NP_416723.1
Q06067,NC_000913.3
Q06067,WP_000559125.1
Q06067,NZ_STEB01000002.1
P0AB98,NP_418194.1
P0AB98,NC_000913.3
P0AB98,WP_000135625.1
P0AB98,NZ_SSZK01000036.1
P0ABB0,NP_418190.1
P0ABB0,NC_000913.3
P0ABB0,WP_001176745.1
P0ABB0,NZ_STEB01000015.1
P0ABB4,NP_418188.1
P0ABB4,NC_000913.3
P0ABB4,WP_000190506.1
P0ABB4,NZ_STEB01000015.1
P0ABA4,NP_418191.1
P0ABA4,NC_000913.3
P0ABA4,WP_001288587.1
P0ABA4,NZ_STEB01000015.1
P0A6E6,NP_418187.1
P0A6E6,NC_000913.3
P0A6E6,WP_001251965.1
P0A6E6,NZ_STEB01000015.1
P0ABA0,NP_418192.1
P0ABA0,NC_000913.3
P0ABA0,WP_001052219.1
P0ABA0,NZ_STEB01000015.1
P0ABA6,NP_418189.1
P0ABA6,NC_000913.3
P0ABA6,WP_000896498.1
P0ABA6,NZ_STEB01000015.1
P68699,NP_418193.1
P68699,NC_000913.3
P68699,WP_000429386.1
P68699,NZ_STEB01000015.1
P0ABC0,NP_418195.2
P0ABC0,NC_000913.3
P0ABC0,WP_000116695.1
P0ABC0,NZ_SSZK01000036.1
P09053,WP_000144363.1
P09053,NZ_LN832404.1
P09053,YP_026231.1
P09053,NC_000913.3
P41407,NP_415930.1
P41407,NC_000913.3
P41407,WP_000048950.1
P41407,NZ_SSZK01000021.1
C1P605,WP_010723106.1
C1P605,NZ_STEB01000026.1
C1P605,YP_002791245.1
C1P605,NC_000913.3
P69228,NP_416583.1
P69228,NC_000913.3
P69228,WP_000137877.1
P69228,NZ_SSZK01000011.1
P30847,NP_416582.1
P30847,NC_000913.3
P30847,WP_000675150.1
P30847,NZ_SSZK01000011.1
P0A940,NP_414719.1
P0A940,NC_000913.3
P0A940,WP_001240896.1
P0A940,NZ_STEB01000032.1
P77774,NP_417007.1
P77774,NC_000913.3
P77774,WP_001177052.1
P77774,NZ_LN832404.1
P0A903,NP_416972.4
P0A903,NC_000913.3
P0A903,WP_001297320.1
P0A903,NZ_STEB01000011.1
P0AC02,NP_417086.1
P0AC02,NC_000913.3
P0AC02,WP_000197686.1
P0AC02,NZ_STEB01000040.1
P0A937,NP_417107.2
P0A937,NC_000913.3
P0A937,WP_001203437.1
P0A937,NZ_STEB01000040.1
P0AEC5,NP_417266.1
P0AEC5,NC_000913.3
P0AEC5,WP_000186450.1
P0AEC5,NZ_SSZK01000003.1
P30843,NP_418537.1
P30843,NC_000913.3
P30843,WP_000697919.1
P30843,NZ_STEB01000014.1
P30843,WP_000697926.1
P30843,NZ_LN832404.1
P30844,NP_418536.1
P30844,NC_000913.3
