UniprotID,Protein_Accession
Q3UFY7,XP_006534106.1
Q3UFY7,XM_006534043.3
Q3V1L4,NP_001157835.1
Q3V1L4,NM_001164363.1
Q3V1L4,NP_001157837.1
Q3V1L4,NM_001164365.1
Q3V1L4,NP_084086.3
Q3V1L4,NM_029810.4
Q3V1L4,XP_006527521.1
Q3V1L4,XM_006527458.2
Q3V1L4,XP_006527522.1
Q3V1L4,XM_006527459.2
Q61503,NP_035981.1
Q61503,NM_011851.4
Q9DCD0,NP_001074743.1
Q9DCD0,NM_001081274.1
Q9CQ60,NP_001281198.1
Q9CQ60,NM_001294269.1
Q9CQ60,NP_079672.1
Q9CQ60,NM_025396.3
P12961,NP_033188.3
P12961,NM_009162.3
P53368,NP_032663.1
P53368,NM_008637.1
P53368,XP_006504718.1
P53368,XM_006504655.2
P53368,XP_006504719.1
P53368,XM_006504656.2
P53368,XP_006504720.1
P53368,XM_006504657.2
Q3UKZ7,NP_001028618.1
Q3UKZ7,NM_001033446.2
Q3UKZ7,XP_006526129.1
Q3UKZ7,XM_006526066.2
Q571I9,NP_666066.1
Q571I9,NM_145954.1
Q8C0J2-3,NP_001192320.1
Q8C0J2-3,NM_001205391.1
Q8C0J2-1,NP_084122.2
Q8C0J2-1,NM_029846.4
Q6KAU8-1,NP_001104581.1
Q6KAU8-1,NM_001111111.1
Q60590,NP_032794.1
Q60590,NM_008768.2
P07361,NP_035146.1
P07361,NM_011016.2
P07758,NP_033269.1
P07758,NM_009243.4
P07758,XP_017174431.1
P07758,XM_017318942.1
P22599,NP_033270.3
P22599,NM_009244.4
Q00896,NP_033271.1
Q00896,NM_009245.2
Q00897,NP_033272.1
Q00897,NM_009246.3
Q00898,NP_033273.1
Q00898,NM_009247.2
Q9DCQ7,NP_001158214.1
Q9DCQ7,NM_001164742.1
Q9DCQ7,NP_080963.2
Q9DCQ7,NM_026687.2
Q19LI2,NP_001074536.1
Q19LI2,NM_001081067.1
Q5YD48-1,NP_001074543.1
Q5YD48-1,NM_001081074.1
Q5YD48,XP_006527394.1
Q5YD48,XM_006527331.1
Q61247,NP_032904.1
Q61247,NM_008878.2
Q6GQT1,NP_783327.2
Q6GQT1,NM_175628.3
Q3V1N9-1,NP_001009819.1
Q3V1N9-1,NM_001009819.2
Q67BJ4,NP_001004150.1
Q67BJ4,NM_001004150.3
Q67BJ4,NP_001164425.1
Q67BJ4,NM_001170954.1
Q14BT6,NP_001070892.1
Q14BT6,NM_001077424.2
Q14BT6,XP_006511309.1
Q14BT6,XM_006511246.3
P12023-1,NP_001185752.1
P12023-1,NM_001198823.1
Q3UD01,NP_001028646.2
Q3UD01,NM_001033474.2
Q60612,NP_001008533.1
Q60612,NM_001008533.3
Q60612,NP_001034599.1
Q60612,NM_001039510.2
Q60612,NP_001269874.1
Q60612,NM_001282945.1
Q60612,NP_001278857.1
Q60612,NM_001291928.1
Q60612,XP_006529142.1
Q60612,XM_006529079.2
Q60613,NP_001318024.1
Q60613,NM_001331095.1
Q60613,NP_001318025.1
Q60613,NM_001331096.1
Q60613,NP_033760.2
Q60613,NM_009630.3
Q60613,XP_006513156.1
Q60613,XM_006513093.3
Q60614,NP_031439.2
Q60614,NM_007413.4
P63115,NP_059090.3
P63115,NM_017394.4
Q99PG0,NP_075872.1
Q99PG0,NM_023383.1
P58742,NP_700465.2
P58742,NM_153416.2
Q9D2R0,NP_084486.1
Q9D2R0,NM_030210.1
Q9WVM8,NP_035964.1
Q9WVM8,NM_011834.2
Q8R2R3,NP_080133.1
Q8R2R3,NM_025857.2
Q3UHJ0-1,NP_001035195.1
Q3UHJ0-1,NM_001040106.2
Q3UHJ0-2,NP_808430.2
Q3UHJ0-2,NM_177762.6
Q9R078,NP_114075.1
Q9R078,NM_031869.2
Q9R078,XP_006530264.1
Q9R078,XM_006530201.1
Q6PAM0,NP_892042.2
Q6PAM0,NM_182997.2
Q6PAM0,XP_006500903.1
Q6PAM0,XM_006500840.1
Q6PAM0,XP_011238284.1
Q6PAM0,XM_011239982.2
O54950,NP_058061.2
O54950,NM_016781.2
Q91WG5-2,NP_001164027.1
Q91WG5-2,NM_001170556.1
Q91WG5-1,NP_663376.2
Q91WG5-1,NM_145401.2
Q8BGM7-1,NP_714966.1
Q8BGM7-1,NM_153744.3
Q8BGM7-1,XP_006496051.1
Q8BGM7-1,XM_006495988.3
Q8BGM7-1,XP_006496052.1
Q8BGM7-1,XM_006495989.3
Q8R0P4,NP_001171416.1
Q8R0P4,NM_001177945.1
Q8R0P4,NP_001171417.1
Q8R0P4,NM_001177946.1
Q8R0P4-2,NP_001171418.1
Q8R0P4-2,NM_001177947.1
Q8R0P4-1,NP_899074.2
Q8R0P4-1,NM_183251.3
Q8R0P4-1,XP_006508177.1
Q8R0P4-1,XM_006508114.3
Q8R0P4,XP_006508178.1
Q8R0P4,XM_006508115.2
Q5EG47,NP_001013385.3
Q5EG47,NM_001013367.3
Q8BRK8,NP_835279.2
Q8BRK8,NM_178143.2
Q9D2V5,NP_001158290.1
Q9D2V5,NM_001164818.1
Q9D2V5,NP_080937.3
Q9D2V5,NM_026661.4
Q9D2V5,XP_006500160.1
Q9D2V5,XM_006500097.3
Q811W1,NP_780712.2
Q811W1,NM_175503.3
Q3THG9,NP_659078.1
Q3THG9,NM_144829.1
Q99K67,NP_038958.2
Q99K67,NM_013930.4
Q7TSV6-1,NP_083950.1
Q7TSV6-1,NM_029674.1
Q7TSV6-1,XP_006509274.1
Q7TSV6-1,XM_006509211.3
P05201,NP_034454.2
P05201,NM_010324.2
Q9JKX4-1,NP_062790.1
Q9JKX4-1,NM_019816.1
P05202,NP_034455.1
P05202,NM_010325.2
Q99JW1-1,NP_663396.1
Q99JW1-1,NM_145421.2
Q99JW1-1,XP_017169383.1
Q99JW1-1,XM_017313894.1
Q7M759,NP_666208.2
Q7M759,NM_146096.3
Q7M759,XP_011245530.1
Q7M759,XM_011247228.2
Q8VCV1,NP_598483.2
Q8VCV1,NM_133722.2
Q8R5A3,NP_062329.2
Q8R5A3,NM_019456.2
Q8R5A3,XP_006498249.1
Q8R5A3,XM_006498186.2
Q8R5A3,XP_011237441.1
Q8R5A3,XM_011239139.2
Q8K442,NP_694785.3
Q8K442,NM_153145.4
Q8K440-1,NP_038879.2
Q8K440-1,NM_013851.2
Q8K440-1,XP_006533522.1
Q8K440-1,XM_006533459.3
Q8K440,XP_006533525.1
Q8K440,XM_006533462.3
Q8K440-2,XP_006533526.1
Q8K440-2,XM_006533463.3
P41233,NP_038482.3
P41233,NM_013454.3
Q8R420,NP_001034670.1
Q8R420,NM_001039581.2
Q8R420,NP_038883.2
Q8R420,NM_013855.3
Q8R420,XP_006524433.1
Q8R420,XM_006524370.2
O35600,NP_031404.1
O35600,NM_007378.1
Q8K448,NP_671752.2
Q8K448,NM_147219.2
Q8K448,XP_006533128.1
Q8K448,XM_006533065.3
Q8K441-2,NP_001160028.1
Q8K441-2,NM_001166556.1
Q8K441,NP_001160029.1
Q8K441,NM_001166557.1
Q8K441-1,NP_671751.2
Q8K441-1,NM_147218.2
Q8K441-1,XP_006534476.1
Q8K441-1,XM_006534413.1
Q8K441-1,XP_006534477.1
Q8K441-1,XM_006534414.2
Q91V24,NP_038878.1
Q91V24,NM_013850.1
Q91V24,XP_017169446.1
Q91V24,XM_017313957.1
Q8K449,NP_671753.2
Q8K449,NM_147220.2
Q8K449,XP_017169975.1
Q8K449,XM_017314486.1
E9Q876,NP_780419.2
E9Q876,NM_175210.3
Q5SSE9-1,NP_839990.2
Q5SSE9-1,NM_178259.3
E9PX95,NP_001026792.2
E9PX95,NM_001031621.2
E9PX95,XP_006524539.1
E9PX95,XM_006524476.3
E9PX95,XP_006524540.1
E9PX95,XM_006524477.3
E9PX95,XP_006524541.1
E9PX95,XM_006524478.3
E9PX95,XP_006524542.1
E9PX95,XM_006524479.3
E9PX95,XP_017173021.1
E9PX95,XM_017317532.1
E9PX95,XP_017173022.1
E9PX95,XM_017317533.1
B5X0E4-1,NP_084237.1
B5X0E4-1,NM_029961.2
Q9DC29,NP_076221.1
Q9DC29,NM_023732.3
Q61102,NP_033722.1
Q61102,NM_009592.1
Q9JJ59-1,NP_063928.2
Q9JJ59-1,NM_019875.2
Q9JI39,NP_062425.1
Q9JI39,NM_019552.2
Q9QY30,NP_066302.2
Q9QY30,NM_021022.3
Q9QY30,XP_006499732.1
Q9QY30,XM_006499669.3
P70170,NP_001038185.1
P70170,NM_001044720.1
P70170-2,NP_035641.1
P70170-2,NM_011511.2
P70170-1,NP_066378.1
P70170-1,NM_021041.2
P70170-3,NP_066379.2
P70170-3,NM_021042.2
P70170-2,XP_006507011.1
P70170-2,XM_006506948.3
P70170-2,XP_006507012.1
P70170-2,XM_006506949.3
P70170-2,XP_006507013.1
P70170-2,XM_006506950.3
P70170-2,XP_006507014.1
P70170-2,XM_006506951.3
P48410,NP_031461.1
P48410,NM_007435.2
Q61285,NP_036124.2
Q61285,NM_011994.2
P55096,NP_033017.2
P55096,NM_008991.2
O89016,NP_033018.2
O89016,NM_008992.2
P61222,NP_056566.2
P61222,NM_015751.2
Q6P542,NP_038882.1
Q6P542,NM_013854.1
Q99LE6,NP_001177372.1
Q99LE6,NM_001190443.1
Q99LE6,NP_038881.1
Q99LE6,NM_013853.2
Q99LE6,XP_006535789.1
Q99LE6,XM_006535726.3
Q99LE6,XP_006535790.1
Q99LE6,XM_006535727.3
Q8K268,NP_038880.1
Q8K268,NM_013852.2
Q64343,NP_033723.1
Q64343,NM_009593.2
Q7TMS5,NP_036050.1
Q7TMS5,NM_011920.3
Q7TMS5,XP_006506211.1
Q7TMS5,XM_006506148.3
Q7TMS5,XP_006506212.1
Q7TMS5,XM_006506149.3
Q7TMS5,XP_006506213.1
Q7TMS5,XM_006506150.3
Q7TMS5,XP_006506214.1
Q7TMS5,XM_006506151.3
Q7TMS5,XP_011239664.1
Q7TMS5,XM_011241362.1
Q99P81,NP_084515.2
Q99P81,NM_030239.2
Q91WA9,NP_620405.3
Q91WA9,NM_138955.3
Q91WA9,XP_011240723.1
Q91WA9,XM_011242421.2
Q99PE8,NP_114090.1
Q99PE8,NM_031884.2
Q9DBM0,NP_001272934.1
Q9DBM0,NM_001286005.1
Q9DBM0,NP_001334347.1
Q9DBM0,NM_001347418.1
Q9DBM0-1,NP_080456.1
Q9DBM0-1,NM_026180.3
Q99LR1-1,NP_077785.2
Q99LR1-1,NM_024465.3
Q8C1A9-1,NP_080898.2
Q8C1A9-1,NM_026622.3
Q8C1A9-1,XP_017175080.1
Q8C1A9-1,XM_017319591.1
P51908,NP_001127863.1
P51908,NM_001134391.1
P51908,NP_112436.1
P51908,NM_031159.3
P51908,XP_006505464.1
P51908,XM_006505401.2
P51908,XP_011239461.1
P51908,XM_011241159.2
Q9WV35,NP_033824.1
Q9WV35,NM_009694.3
Q99J72-3,XP_017172295.1
Q99J72-3,XM_017316806.1
Q5F2F2,NP_080461.3
Q5F2F2,NM_026185.4
Q9QZC8,NP_067279.2
Q9QZC8,NM_021304.3
Q9QXM0,NP_061281.3
Q9QXM0,NM_018811.6
Q91ZH7-1,NP_598891.1
Q91ZH7-1,NM_134130.1
Q8VD66,NP_001192110.1
Q8VD66,NM_001205181.1
Q8VD66,NP_598837.2
Q8VD66,NM_134076.2
Q9DBL9-1,NP_080455.1
Q9DBL9-1,NM_026179.2
Q9DBL9,XP_006512308.1
Q9DBL9,XM_006512245.3
Q8R2Y0-1,NP_001317993.1
Q8R2Y0-1,NM_001331064.1
Q8R2Y0-2,NP_001317994.1
Q8R2Y0-2,NM_001331065.1
Q8R2Y0-1,NP_079617.2
Q8R2Y0-1,NM_025341.4
Q8R2Y0-1,XP_006518136.1
Q8R2Y0-1,XM_006518073.2
Q8R0P8,NP_071864.2
Q8R0P8,NM_022419.3
Q6PE15-2,NP_001258999.1
Q6PE15-2,NM_001272070.1
Q6PE15-1,NP_766099.3
Q6PE15-1,NM_172511.4
Q8K4F5,NP_660250.1
Q8K4F5,NM_145215.2
Q80UX8,NP_001074588.1
Q80UX8,NM_001081119.1
Q80UX8,NP_081144.1
Q80UX8,NM_026868.1
Q9Z1Q2,NP_848707.1
Q9Z1Q2,NM_178592.3
Q80YU0,NP_899004.1
Q80YU0,NM_183181.2
Q8CBW3-1,NP_001070658.1
Q8CBW3-1,NM_001077190.3
Q8CBW3-2,NP_001070660.1
Q8CBW3-2,NM_001077192.3
Q8CBW3-5,NP_001070661.1
Q8CBW3-5,NM_001077193.3
Q8CBW3-4,NP_031406.2
Q8CBW3-4,NM_007380.4
P62484,NP_001185499.1
P62484,NM_001198570.1
P62484,NP_001185500.1
P62484,NM_001198571.1
P62484,NP_937760.1
P62484,NM_198127.2
Q8BYZ1-2,NP_001156936.1
Q8BYZ1-2,NM_001163464.1
Q8BYZ1-1,NP_079935.1
Q8BYZ1-1,NM_025659.4
Q8BYZ1-2,XP_017170199.1
Q8BYZ1-2,XM_017314710.1
Q80ZQ9,NP_001074889.1
Q80ZQ9,NM_001081420.1
P00520-4,NP_001106174.1
P00520-4,NM_001112703.2
P00520-3,NP_001269974.1
P00520-3,NM_001283045.1
P00520-2,NP_001269975.1
P00520-2,NM_001283046.1
P00520-1,NP_033724.2
P00520-1,NM_009594.4
Q8K4G5-2,NP_001096647.1
Q8K4G5-2,NM_001103177.2
Q8K4G5,NP_001096648.1
Q8K4G5,NM_001103178.2
Q8K4G5,NP_001277742.1
Q8K4G5,NM_001290813.1
Q8K4G5-4,NP_001277744.1
Q8K4G5-4,NM_001290815.1
Q8K4G5,NP_848803.3
Q8K4G5,NM_178688.3
Q8BL65-4,NP_001171168.1
Q8BL65-4,NM_001177697.1
Q8BL65-3,NP_001171170.1
Q8BL65-3,NM_001177699.1
Q8BL65-2,NP_001171171.1
Q8BL65-2,NM_001177700.1
Q8BL65-1,NP_808346.3
Q8BL65-1,NM_177678.7
Q69ZX8,NP_001157963.1
Q69ZX8,NM_001164491.1
Q69ZX8,NP_941051.2
Q69ZX8,NM_198649.3
Q4KML4,NP_082716.1
Q4KML4,NM_028440.1
Q8BUZ1,NP_780665.1
Q8BUZ1,NM_175456.4
Q8BPZ8-1,NP_765993.1
Q8BPZ8-1,NM_172405.3
Q3TCJ1,NP_932134.3
Q3TCJ1,NM_198017.3
Q5SSL4-3,NP_001278115.1
Q5SSL4-3,NM_001291186.1
Q5SSL4-4,NP_001333599.1
Q5SSL4-4,NM_001346670.1
Q5SSL4-2,NP_932135.1
Q5SSL4-2,NM_198018.2
Q5SSL4,NP_942597.1
Q5SSL4,NM_198894.2
Q5SSL4-1,NP_942598.1
Q5SSL4-1,NM_198895.2
Q9QYL7,NP_038952.1
Q9QYL7,NM_013924.3
Q99LJ2,NP_084527.2
Q99LJ2,NM_030251.3
Q7TQI7,NP_849221.2
Q7TQI7,NM_178890.3
Q6GQW0,NP_001017525.1
Q6GQW0,NM_001017525.1
Q6GQW0-1,NP_082985.2
Q6GQW0-1,NM_028709.2
Q5SWU9-1,NP_579938.2
Q5SWU9-1,NM_133360.2
Q5SWU9-2,XP_006532016.1
Q5SWU9-2,XM_006531953.1
Q5SWU9-1,XP_006532017.1
Q5SWU9-1,XM_006531954.2
Q5SWU9-1,XP_006532018.1
Q5SWU9-1,XM_006531955.1
Q5SWU9-1,XP_006532019.1
Q5SWU9-1,XM_006531956.2
Q5SWU9-1,XP_006532020.1
Q5SWU9-1,XM_006531957.3
Q5SWU9-1,XP_011246969.1
Q5SWU9-1,XM_011248667.1
E9Q4Z2,NP_598665.2
E9Q4Z2,NM_133904.2
E9Q4Z2,XP_006530176.1
E9Q4Z2,XM_006530113.3
Q9D7B6,NP_080138.2
Q9D7B6,NM_025862.2
Q8JZN5,NP_766266.3
Q8JZN5,NM_172678.3
P51174,NP_031407.2
P51174,NM_007381.4
P45952,NP_031408.1
P45952,NM_007382.5
Q07417,NP_031409.2
Q07417,NM_007383.3
P50544,NP_059062.1
P50544,NM_017366.3
Q8K2H4,NP_722483.2
Q8K2H4,NM_153788.3
Q6ZQK5-1,NP_084414.1
Q6ZQK5-1,NM_030138.2
Q99J27,NP_001258964.1
Q99J27,NM_001272035.1
Q99J27,NP_056543.2
Q99J27,NM_015728.5
Q5XG73-2,NP_001095906.1
Q5XG73-2,NM_001102436.1
Q5XG73,NP_001095907.1
Q5XG73,NM_001102437.1
Q5XG73-1,NP_001095908.1
Q5XG73-1,NM_001102438.1
Q5XG73-3,NP_083069.1
Q5XG73-3,NM_028793.3
Q9D061-3,NP_001139253.1
Q9D061-3,NM_001145781.1
Q9D061-2,NP_080959.1
Q9D061-2,NM_026683.1
Q9D061-1,NP_082526.2
Q9D061-1,NM_028250.3
Q9D258,NP_084339.1
Q9D258,NM_030063.2
Q99PU5,NP_444408.1
Q99PU5,NM_053178.2
Q2XU92,NP_001034203.1
Q2XU92,NM_001039114.1
P31786,NP_031856.1
P31786,NM_007830.4
Q8K370,NP_082313.2
Q8K370,NM_028037.4
Q8K370,XP_006530521.1
Q8K370,XM_006530458.3
Q8K370,XP_006530523.1
Q8K370,XM_006530460.3
Q8K370,XP_006530524.1
Q8K370,XM_006530461.3
Q80XL6,NP_780533.2
Q80XL6,NM_175324.3
Q9DBL1,NP_080102.1
Q9DBL1,NM_025826.4
Q5EE38-1,NP_001012656.1
Q5EE38-1,NM_001012638.2
Q5EE38-3,NP_001335278.1
Q5EE38-3,NM_001348349.1
Q5EE38-3,XP_006531237.1
Q5EE38-3,XM_006531174.3
Q5EE38-3,XP_006531238.1
Q5EE38-3,XM_006531175.2
Q5EE38,XP_006531239.1
Q5EE38,XM_006531176.2
Q5EE38-3,XP_011246737.1
Q5EE38-3,XM_011248435.2
Q5EE38,XP_017168377.1
Q5EE38,XM_017312888.1
Q8R0I0-1,NP_001123985.1
Q8R0I0-1,NM_001130513.1
Q8R0I0-1,NP_081562.2
Q8R0I0-1,NM_027286.4
D0G895,NP_001094923.2
D0G895,NM_001101453.2
Q8R4X1,NP_783858.1
Q8R4X1,NM_175731.4
Q8VD53-2,NP_001277470.1
Q8VD53-2,NM_001290541.1
Q8VD53,NP_001277472.1
Q8VD53,NM_001290543.1
Q8VD53-1,NP_647467.1
Q8VD53-1,NM_139306.3
Q9D099,NP_079684.2
Q9D099,NM_025408.2
P21836-1,NP_001276939.1
P21836-1,NM_001290010.1
P21836-1,NP_033729.1
P21836-1,NM_009599.4
P09470-2,NP_033728.1
P09470-2,NM_009598.2
P09470-1,NP_997507.1
P09470-1,NM_207624.5
Q91X60,NP_659052.1
Q91X60,NM_144803.2
Q91X60,XP_006518497.1
Q91X60,XM_006518434.3
Q91X60,XP_006518498.1
Q91X60,XM_006518435.3
Q91X60,XP_006518499.1
Q91X60,XM_006518436.3
Q8R4G9,NP_660111.2
Q8R4G9,NM_145129.2
O70174,NP_056545.3
O70174,NM_015730.5
Q2MKA5-2,NP_789814.2
Q2MKA5-2,NM_176844.4
Q2MKA5,XP_006510836.1
Q2MKA5,XM_006510773.3
Q9R0W9,NP_067344.2
Q9R0W9,NM_021369.2
P49582,NP_031416.3
P49582,NM_007390.3
P04756,NP_031415.2
P04756,NM_007389.5
Q9ERK7,NP_033732.2
Q9ERK7,NM_009602.4
Q8BMN3-2,NP_081730.1
Q8BMN3-2,NM_027454.4
Q8BMN3-1,NP_775304.1
Q8BMN3-1,NM_173212.4
Q8R493,NP_683746.1
Q8R493,NM_148944.4
P09690,NP_033731.3
P09690,NM_009601.4
P02716,NP_067611.2
P02716,NM_021600.3
P20782,NP_033733.1
P20782,NM_009603.1
Q9JIX8,NP_001078942.2
Q9JIX8,NM_001085473.2
Q9JIX8-3,NP_001229534.1
Q9JIX8-3,NM_001242605.1
Q9JIX8,NP_062513.3
Q9JIX8,NM_019567.3
Q9JIX8-1,NP_075679.2
Q9JIX8-1,NM_023190.3
Q9JIX8,XP_006519361.1
Q9JIX8,XM_006519298.3
Q9JIX8-3,XP_006519367.1
Q9JIX8-3,XM_006519304.3
O54967,NP_001103617.1
O54967,NM_001110147.1
O54967,NP_001276372.1
O54967,NM_001289443.1
O54967,NP_001334114.1
O54967,NM_001347185.1
O54967,NP_058068.2
O54967,NM_016788.3
Q9D1Z3,NP_080822.1
Q9D1Z3,NM_026546.3
Q9QUI6,NP_034175.2
Q9QUI6,NM_010045.2
O08707,NP_001263648.1
O08707,NM_001276719.1
O08707,NP_067622.2
O08707,NM_021609.4
O08707,XP_006512266.1
O08707,XM_006512203.3
O08707,XP_006512267.1
O08707,XM_006512204.3
P56485,NP_001258536.1
P56485,NM_001271607.1
P56485,NP_031748.2
P56485,NM_007722.4
Q924I3,NP_663746.2
Q924I3,NM_145700.2
Q924I3,XP_006511797.1
