UniprotID,Protein_Accession
P53909,NP_014258.1
P53909,NM_001182979.1
Q2V2Q1,NP_001018031.2
Q2V2Q1,NM_001184528.1
P00330,NP_014555.1
P00330,NM_001183340.1
P00331,NP_014032.1
P00331,NM_001182812.1
P07246,NP_013800.1
P07246,NM_001182582.1
P10127,NP_011258.2
P10127,NM_001181122.1
P38113,NP_009703.3
P38113,NM_001178493.3
Q04894,NP_014051.3
Q04894,NM_001182831.3
P25377,NP_010030.1
P25377,NM_001178812.1
P47143,NP_012639.1
P47143,NM_001181763.1
P25371,NP_009937.2
P25371,NM_001178724.1
Q01976-1,NP_009669.1
Q01976-1,NM_001178459.1
P07248,NP_010502.3
P07248,NM_001180524.3
P48360,NP_010664.3
P48360,NM_001180684.3
Q12184,NP_015071.1
Q12184,NM_001184066.1
P04710,NP_013772.1
P04710,NM_001182554.1
P18239,NP_009523.1
P18239,NM_001178270.1
P18238,NP_009642.3
P18238,NM_001178433.3
P38872,NP_012055.3
P38872,NM_001179316.3
P25613,NP_009936.1
P25613,NM_001178723.1
Q07732,NP_010042.2
Q07732,NM_001180299.2
Q05955,NP_013328.1
Q05955,NM_001182114.1
P32493,NP_013780.1
P32493,NM_001182562.1
P22136,NP_014009.1
P22136,NM_001182789.1
Q12089,NP_015320.1
Q12089,NM_001183819.1
P53930,NP_014292.3
P53930,NM_001182945.3
Q07988,NP_013141.1
Q07988,NM_001181927.1
P32317,NP_010862.1
P32317,NM_001178867.1
P32794,NP_013501.1
P32794,NM_001182285.1
P39925,NP_010933.1
P39925,NM_001178908.1
Q99222,NP_014772.1
Q99222,NM_001183548.1
P33304,NP_010370.1
P33304,NM_001180393.1
P22149,NP_011444.1
P22149,NM_001180936.1
Q08957,NP_015122.1
Q08957,NM_001184016.1
P32323,NP_014442.1
P32323,NM_001183221.1
P32781,NP_011483.3
P32781,NM_001180897.3
Q12482,NP_015346.1
Q12482,NM_001184118.1
Q04412,NP_010812.3
Q04412,NM_001180832.3
P40529,NP_012220.3
P40529,NM_001179394.3
P38628,NP_010856.1
P38628,NM_001178873.1
P25376,NP_009905.3
P25376,NM_001178671.1
P38090,NP_009690.1
P38090,NM_001178480.1
P43548,NP_116600.1
P43548,NM_001179912.1
P43567,NP_116623.1
P43567,NM_001179936.1
Q12449,NP_010500.3
Q12449,NM_001180522.3
Q12433,NP_014666.1
Q12433,NM_001183442.1
P25649,NP_010005.1
P25649,NM_001178788.1
P38013,NP_013210.1
P38013,NM_001181996.1
P03875,NP_009310.1
P03875,NC_001224.1
P03876,NP_009309.1
P03876,NC_001224.1
Q9ZZX0,NP_009311.2
Q9ZZX0,NC_001224.1
P52923,NP_014472.1
P52923,NM_001183251.1
P87275,NP_011019.1
P87275,NM_001180860.1
P53109,NP_011355.1
P53109,NM_001181025.1
P23180,NP_011842.1
P23180,NM_001179101.1
P38884,NP_012068.1
P38884,NM_001179329.1
P40502,NP_012179.3
P40502,NM_001179435.3
P40451,NP_012108.3
P40451,NM_001179506.3
P40563,NP_012268.3
P40563,NM_001179525.3
P47015,NP_012404.1
P47015,NM_001181564.1
P47127,NP_012614.1
P47127,NM_001181738.1
P47140,NP_012634.3
P47140,NM_001181758.3
P32858,NP_012887.1
P32858,NM_001179603.1
P36154,NP_013000.3
P36154,NM_001179864.3
P39721,NP_009350.1
P39721,NM_001178194.1
Q04689,NP_013662.1
Q04689,NM_001182408.1
Q04516,NP_013623.1
Q04516,NM_001182446.1
Q03673,NP_013716.1
Q03673,NM_001182499.1
Q03798,NP_013878.1
Q03798,NM_001182660.1
Q08223,NP_014588.1
Q08223,NM_001183308.1
P38266,NP_009666.3
P38266,NM_001178456.2
Q12032,NP_014858.1
Q12032,NM_001183634.1
Q99299,NP_015167.1
Q99299,NM_001183972.1
P38885,NP_012069.3
P38885,NM_001179330.3
P38305,NP_009753.3
P38305,NM_001178542.3
Q07716,NP_010044.2
Q07716,NM_001180297.2
Q12156,NP_010348.1
Q12156,NM_001180371.1
P40053,NP_011003.1
P40053,NM_001178971.1
P46680,NP_013810.1
P46680,NM_001182592.1
P40507,NP_012186.1
P40507,NM_001179429.1
Q12476,NP_010106.1
Q12476,NM_001180235.1
P38080,NP_009615.1
P38080,NM_001178407.1
P39010,NP_010550.1
P39010,NM_001180572.1
Q12013,NP_014677.1
Q12013,NM_001183453.1
P10869,NP_010972.1
P10869,NM_001178943.1
P52893,NP_013190.1
P52893,NM_001181976.1
P52892,NP_010396.1
P52892,NM_001180419.1
P47019,NP_012413.1
P47019,NM_001181555.1
P47771,NP_013893.1
P47771,NM_001182674.1
P54114,NP_013892.1
P54114,NM_001182673.1
P46367,NP_015019.1
P46367,NM_001183794.1
P40047,NP_010996.2
P40047,NM_001178964.2
P54115,NP_015264.1
P54115,NM_001183875.1
Q08548,NP_014818.1
Q08548,NM_001183594.1
P14540,NP_012863.1
P14540,NM_001179626.1
P50076,NP_011743.2
P50076,NM_001181356.2
P53954,NP_014350.1
P53954,NM_001182887.1
P53730,NP_014427.1
P53730,NM_001183207.1
P53178,NP_011468.1
P53178,NM_001180912.1
P38242,NP_009626.1
P38242,NM_001178418.1
P16661,NP_009668.3
P16661,NM_001178458.3
P43636,NP_011450.1
P43636,NM_001180930.1
P38179,NP_009471.1
P38179,NM_001178322.1
P40350,NP_015097.1
P40350,NM_001184041.1
Q12001,NP_014644.1
Q12001,NM_001183421.1
P40351,NP_014710.1
P40351,NM_001183486.1
P53868,NP_014180.1
P53868,NM_001183057.1
P43633,NP_011494.1
P43633,NM_001180886.1
P32789,NP_009544.1
P32789,NM_001178249.1
P32459,NP_012298.1
P32459,NM_001179554.1
P25335,NP_012295.1
P25335,NM_001179551.1
P32375,NP_012293.3
P32375,NM_001179549.3
P54783,NP_013624.1
P54783,NM_001182445.1
P38971,NP_014129.1
P38971,NM_001183108.1
Q08269,NP_014511.1
Q08269,NM_001183384.1
P43553,NP_116604.1
P43553,NM_001179917.1
P36117,NP_012946.3
P36117,NM_001179811.4
P47029,NP_012451.1
P47029,NM_001181517.1
P50082,NP_011741.5
P50082,NM_001181354.3
P22580,NP_010528.3
P22580,NM_001180550.3
Q08902,NP_015023.1
Q08902,NM_001183798.1
P38285,NP_009716.1
P38285,NM_001178506.1
P15274,NP_013677.1
P15274,NM_001182392.1
P14904,NP_012819.1
P14904,NM_001179669.1
P08019,NP_012167.3
P08019,NM_001179447.3
P32629,NP_010878.1
P32629,NM_001178851.1
P36090,NP_012877.1
P36090,NM_001179613.1
P38832,NP_011994.1
P38832,NM_001179256.1
Q06497,NP_015453.1
Q06497,NM_001184225.1
Q03687,NP_013723.1
Q03687,NM_001182506.1
P38856,NP_012031.1
P38856,NM_001179292.1
P53309,NP_011757.3
P53309,NM_001181370.3
P36000,NP_012787.1
P36000,NM_001179701.1
Q12028,NP_015354.1
Q12028,NM_001184126.1
Q00776,NP_015064.1
Q00776,NM_001184073.1
P35181,NP_013271.1
P35181,NM_001182057.1
P19880,NP_013707.1
P19880,NM_001182362.1
P38065,NP_009516.1
P38065,NM_001178277.1
P27351,NP_012538.3
P27351,NM_001181662.3
Q99186,NP_014579.1
Q99186,NM_001183317.1
Q00381,NP_012592.1
Q00381,NM_001181716.1
P24813,NP_010711.3
P24813,NM_001180731.3
P46682,NP_011777.3
P46682,NM_001181390.3
Q08951,NP_015129.1
Q08951,NM_001184009.1
P38153,NP_009847.4
P38153,NM_001178636.4
P47064,NP_012510.3
P47064,NM_001181458.3
P16550,NP_009880.2
P16550,NM_001178695.1
P22108,NP_010819.1
P22108,NM_001180838.1
P53068,NP_011274.2
P53068,NM_001181106.1
Q12157,NP_010276.3
Q12157,NM_001180067.3
P53886,NP_014227.4
P53886,NM_001183010.4
Q12440,NP_013228.1
Q12440,NM_001182014.1
Q04601,NP_010403.3
Q04601,NM_001180426.3
Q08683,NP_014892.3
Q08683,NM_001183668.3
Q12107,NP_013203.1
Q12107,NM_001181989.1
P38281,NP_009709.1
P38281,NM_001178499.1
P32454,NP_012765.3
P32454,NM_001179723.2
P37302,NP_009845.2
P37302,NM_001178634.1
P53940,NP_014322.1
P53940,NM_001182915.1
P38700,NP_011844.1
P38700,NM_001179099.1
P22936,NP_012808.1
P22936,NM_001179680.1
P38207,NP_009534.1
P38207,NM_001178259.1
P53933,NP_014305.1
P53933,NM_001182932.1
P40532,NP_012224.1
P40532,NM_001179390.1
P49435,NP_013690.1
P49435,NM_001182380.1
P36973,NP_010729.3
P36973,NM_001180749.3
Q12354,NP_013219.1
Q12354,NM_001182005.1
Q08702,NP_014901.1
Q08702,NM_001183677.1
P53943,NP_014334.3
P53943,NM_001182903.3
P0CD91,NP_015518.1
P0CD91,NM_001184289.1
P0CD90,NP_013048.1
P0CD90,NM_001181872.1
P43549,NP_116601.1
P43549,NM_001179913.1
P38115,NP_009707.3
P38115,NM_001178497.3
Q04212,NP_013755.1
Q04212,NM_001182538.1
P40024,NP_010953.1
P40024,NM_001178927.1
P46672,NP_011410.1
P46672,NM_001180970.1
P07347,NP_011877.1
P07347,NM_001179143.1
P25628,NP_009978.1
P25628,NM_001178762.1
P53629,NP_014416.1
P53629,NM_001183196.1
P11076,NP_010089.1
P11076,NM_001180252.1
P19146,NP_010144.1
P19146,NM_001180197.1
P40994,NP_014737.1
P40994,NM_001183513.1
Q01217,NP_010992.1
Q01217,NM_001178960.1
P18544,NP_014501.1
P18544,NM_001183394.1
P00812,NP_015214.1
P00812,NM_001183925.1
Q04728,NP_013778.1
Q04728,NM_001182560.1
P07249,NP_013756.1
P07249,NM_001182539.1
P05085,NP_013610.1
P05085,NM_001182459.1
P53111,NP_011358.3
P53111,NM_001181022.3
P53974,NP_014378.1
P53974,NM_001182859.1
P38116,NP_009723.3
P38116,NM_001178512.3
Q02804,NP_015274.1
Q02804,NM_001183865.1
P04076,NP_011882.1
P04076,NM_001179148.1
Q04371,NP_013740.1
Q04371,NM_001182523.1
P38731,NP_011823.1
P38731,NM_001179120.1
P38724,NP_011816.2
P38724,NM_001179127.2
Q06408,NP_010668.3
Q06408,NM_001180688.3
P08566,NP_010412.1
P08566,NM_001180435.1
Q04052,NP_010709.1
Q04052,NM_001180729.1
P53090,NP_011313.1
P53090,NM_001181067.1
P38840,NP_012005.1
P38840,NM_001179267.1
P28777,NP_011367.1
P28777,NM_001181013.1
P14843,NP_010320.3
P14843,NM_001180343.3
P32449,NP_009808.1
P32449,NM_001178597.1
Q04549,NP_010391.1
Q04549,NM_001180414.1
P38696,NP_011997.1
P38696,NM_001179259.1
P32381,NP_010255.1
P32381,NM_001180088.1
P47117,NP_012599.3
P47117,NM_001181723.3
P80428,NP_012454.1
P80428,NM_001181514.1
P53946,NP_014339.1
P53946,NM_001182898.1
Q12509,NP_013186.1
Q12509,NM_001181972.1
Q12406,NP_015359.1
Q12406,NM_001184131.1
Q12386,NP_014784.1
Q12386,NM_001183560.1
Q05123,NP_013747.1
Q05123,NM_001182530.1
P38328,NP_009793.1
P38328,NM_001178582.1
P53731,NP_014433.1
P53731,NM_001183212.1
Q05933,NP_013474.3
Q05933,NM_001182259.3
P33204,NP_012912.1
P33204,NM_001179579.1
P40518,NP_012202.1
P40518,NM_001179412.1
Q06596,NP_015525.1
Q06596,NM_001184296.1
Q06597,NP_015526.1
Q06597,NM_001184297.1
Q06598,NP_015527.1
Q06598,NM_001184298.1
P18634,NP_013496.3
P18634,NM_001182280.3
P53244,NP_011582.1
P53244,NM_001181197.1
Q06541,NP_013343.1
Q06541,NM_001182129.1
Q03862,NP_010386.1
Q03862,NM_001180409.1
Q06822,NP_015410.2
Q06822,NM_001184182.1
P50275,NP_116582.1
P50275,NM_001183477.1
P32447,NP_012420.1
P32447,NM_001181548.1
P32448,NP_010084.1
P32448,NM_001180257.1
P40467,NP_012136.1
P40467,NM_001179478.1
P46993,NP_012365.2
P46993,NM_001181603.1
P34233,NP_012736.1
P34233,NM_001179751.1
P54074,NP_013837.1
P54074,NM_001182619.1
P53895,NP_014240.1
P53895,NM_001182997.1
P53983,NP_014390.2
P53983,NM_001182847.2
P48361,NP_011611.1
P48361,NM_001181226.1
P35734,NP_012872.2
P35734,NM_001179618.1
Q04489,NP_013613.1
Q04489,NM_001182456.1
P49089,NP_015471.1
P49089,NM_001184242.1
P49090,NP_011640.1
P49090,NM_001181253.1
P0CZ17,NP_013256.1
P0CZ17,NM_001182042.1
P0CZ17,NP_013258.1
P0CZ17,NM_001182044.1
P0CZ17,NP_013259.1
P0CZ17,NM_001182045.1
P0CZ17,NP_013261.1
P0CZ17,NM_001182047.1
P0CX77,NP_013256.1
P0CX77,NM_001182042.1
P0CX77,NP_013258.1
P0CX77,NM_001182044.1
P0CX77,NP_013259.1
P0CX77,NM_001182045.1
P0CX77,NP_013261.1
P0CX77,NM_001182047.1
P0CX78,NP_013256.1
P0CX78,NM_001182042.1
P0CX78,NP_013258.1
P0CX78,NM_001182044.1
P0CX78,NP_013259.1
P0CX78,NM_001182045.1
P0CX78,NP_013261.1
P0CX78,NM_001182047.1
P0CX79,NP_013256.1
P0CX79,NM_001182042.1
P0CX79,NP_013258.1
P0CX79,NM_001182044.1
P0CX79,NP_013259.1
P0CX79,NM_001182045.1
P0CX79,NP_013261.1
P0CX79,NM_001182047.1
P38986,NP_010607.3
P38986,NM_001180629.3
Q06834,NP_015418.2
Q06834,NM_001184190.1
P22768,NP_014583.2
P22768,NM_001183313.2
P35183,NP_009484.2
P35183,NM_001178309.1
P39945,NP_011027.1
P39945,NM_001178992.1
P40340,NP_011786.1
P40340,NM_001181399.1
P13586,NP_011348.1
P13586,NM_001181032.1
P38929,NP_011509.1
P38929,NM_001180871.1
P39524,NP_009376.2
P39524,NM_001178171.2
Q12675,NP_010378.1
Q12675,NM_001180401.1
P32660,NP_011093.3
P32660,NM_001179056.3
P40527,NP_012216.1
P40527,NM_001179398.1
Q12674,NP_013885.1
Q12674,NM_001182666.1
P16639,NP_011498.1
P16639,NM_001180882.1
P40353,NP_015022.3
P40353,NM_001183797.3
P53296,NP_011693.1
P53296,NM_001181306.1
Q07879,NP_013058.1
Q07879,NM_001181862.1
Q12527,NP_015374.1
Q12527,NM_001184146.1
P38316,NP_009776.1
P38316,NM_001178565.1
Q06628,NP_015511.1
Q06628,NM_001184282.1
P38270,NP_009686.1
P38270,NM_001178476.1
P25641,NP_009994.2
P25641,NM_001178779.1
Q03818,NP_013882.1
Q03818,NM_001182663.1
Q06410,NP_013527.3
Q06410,NM_001182311.3
P43601,NP_444297.1
P43601,NM_001179986.1
P35193,NP_014559.1
P35193,NM_001183336.1
P53104,NP_011335.1
P53104,NM_001181045.1
Q07528,NP_010170.1
Q07528,NM_001180172.1
Q02887,NP_015225.1
Q02887,NM_001183914.1
P25568,NP_009892.1
P25568,NM_001178683.1
Q06671,NP_013535.1
Q06671,NM_001182319.1
Q06321,NP_013290.1
Q06321,NM_001182076.1
P46989,NP_012357.2
P46989,NM_001181611.1
Q12092,NP_015159.1
Q12092,NM_001183980.1
P53855,NP_014157.1
P53855,NM_001183080.1
Q12421,NP_010305.1
Q12421,NM_001180330.1
P40458,NP_012120.1
P40458,NM_001179494.1
Q06485,NP_013460.1
Q06485,NM_001182245.1
Q12292,NP_014558.1
Q12292,NM_001183337.1
P46983,NP_012350.1
P46983,NM_001181618.1
Q05789,NP_013312.2
Q05789,NM_001182098.1
Q06159,NP_013415.1
Q06159,NM_001182200.1
P40344,NP_014404.3
P40344,NM_001183184.3
Q99325,NP_014795.1
Q99325,NM_001183571.1
Q12048,NP_015073.1
Q12048,NM_001184064.1
P38109,NP_009697.3
P38109,NM_001178487.3
P53867,NP_014176.2
P53867,NM_001183061.1
Q12380,NP_015176.1
Q12380,NM_001183963.1
P38862,NP_012041.1
P38862,NM_001179302.1
P38182,NP_009475.1
P38182,NM_001178318.1
Q12142,NP_010132.1
Q12142,NM_001180209.1
P48016,NP_015351.1
P48016,NM_001184123.1
P01097,NP_010100.1
P01097,NM_001180241.1
P40416,NP_014030.1
P40416,NM_001182810.1
P38110,NP_009465.2
P38110,NM_001178328.2
P13587,NP_010325.1
P13587,NM_001180348.1
Q01896,NP_010324.3
Q01896,NM_001180347.3
Q12691,NP_010323.3
Q12691,NM_001180346.3
P32907,NP_014399.3
P32907,NM_001183179.3
Q12359,NP_010672.1
Q12359,NM_001180692.1
P18496,NP_013497.1
P18496,NM_001182281.1
P32453,NP_014084.1
P32453,NM_001183153.1
P22135,NP_012355.1
P22135,NM_001181613.1
Q12349,NP_013398.1
Q12349,NM_001182183.1
P81450,NP_013629.1
P81450,NM_001184340.1
P81451,NP_014564.1
P81451,NM_001184377.1
P50273,NP_010637.4
P50273,NM_001180658.4
P53722,NP_014417.3
P53722,NM_001183197.3
Q03153,NP_013816.1
Q03153,NM_001182598.1
P21306,NP_015052.1
P21306,NM_001184085.1
P00854,NP_009313.1
P00854,NC_001224.1
P30902,NP_012909.3
P30902,NM_001179582.3
P00856,NP_009312.1
P00856,NC_001224.1
P00856,YP_009144707.1
P00856,NC_027264.1
P61829,NP_009319.1
P61829,NC_001224.1
P61829,YP_009144710.1
P61829,NC_027264.1
P07251,NP_009453.2
P07251,NM_001178339.2
P00830,NP_012655.3
P00830,NM_001181779.3
Q12165,NP_010280.1
Q12165,NM_001180063.1
P05626,NP_015247.1
P05626,NM_001183892.1
P38077,NP_009595.1
P38077,NM_001178387.1
P81449,NP_010609.1
P81449,NM_001184348.1
Q06405,NP_010665.3
Q06405,NM_001180685.3
Q12233,NP_015345.1
Q12233,NM_001184117.1
P09457,NP_010584.1
P09457,NM_001180606.1
P13090,NP_013591.1
P13090,NM_001182478.1
P38111,NP_009694.3
P38111,NM_001178484.3
P31386,NP_009382.2
P31386,NM_001178165.2
P38360,NP_009854.2
P38360,NM_001178643.2
P38995,NP_010556.1
P38995,NM_001180578.1
P38636,NP_014140.1
P38636,NM_001183097.1
Q12067,NP_014722.1
Q12067,NM_001183498.1
P32450,NP_116645.1
P32450,NM_001180024.1
P36107,NP_012922.1
P36107,NM_001179570.1
Q08409,NP_014654.1
Q08409,NM_001183430.1
Q12500,NP_013215.1
Q12500,NM_001182001.1
Q08236,NP_014563.1
Q08236,NM_001183332.1
Q04749,NP_013784.1
Q04749,NM_001182566.1
P47082,NP_012534.1
P47082,NM_001181658.1
P39981,NP_010850.1
P39981,NM_001178879.1
P36062,NP_012776.1
P36062,NM_001179712.1
P50944,NP_014298.1
P50944,NM_001182939.1
P38176,NP_009464.2
P38176,NM_001178329.1
P40074,NP_011044.1
P40074,NM_001179009.1
P40501,NP_012178.1
P40501,NM_001179436.1
P40851,NP_015447.1
P40851,NM_001184219.1
P38928,NP_012126.1
P38928,NM_001179488.1
P40471,NP_012142.3
P40471,NM_001179472.3
Q12226,NP_013037.1
Q12226,NM_001181883.1
P41696,NP_014756.3
P41696,NM_001183532.3
P50080,NP_011740.3
P50080,NM_001181353.3
Q12128,NP_014777.3
Q12128,NM_001183553.3
P38084,NP_009624.4
P38084,NM_001178416.4
P41815,NP_010331.3
P41815,NM_001180354.3
P12630,NP_012249.1
P12630,NM_001179365.1
P22035,NP_013025.3
P22035,NM_001179889.3
P47068,NP_012514.2
P47068,NM_001181454.1
Q12365,NP_015068.1
Q12365,NM_001184069.1
Q12186,NP_013217.1
Q12186,NM_001182003.1
P38891,NP_012078.3
P38891,NM_001179339.3
P47176,NP_012682.1
P47176,NM_001181806.1
P38772,NP_011906.1
P38772,NM_001179170.1
Q05029,NP_013964.1
Q05029,NM_001182744.1
P36122,NP_012952.3
P36122,NM_001179817.3
Q01389,NP_012440.1
Q01389,NM_001181528.1
P33306,NP_011094.3
P33306,NM_001179057.3
Q06338,NP_010648.3
Q06338,NM_001180669.3
P32839,NP_010663.1
P32839,NM_001180683.1
P35817,NP_013503.1
P35817,NM_001182287.1
Q07442,NP_010213.1
Q07442,NM_001180129.1
P39714,NP_009341.2
P39714,NM_001178202.2
P39713,NP_009340.1
P39713,NM_001178203.1
Q08347,NP_014478.1
Q08347,NM_001183417.1
Q02948,NP_015205.1
Q02948,NM_001183934.1
P29366,NP_009759.3
P29366,NM_001178548.3
P39960,NP_011082.3
P39960,NM_001179045.3
P32873,NP_015210.1
P32873,NM_001183929.1
P22804,NP_012262.3
P22804,NM_001179354.3
P36149,NP_012994.1
P36149,NM_001179858.1
Q03630,NP_013634.1
Q03630,NM_001182436.1
P47113,NP_012587.3
P47113,NM_001181711.3
P38934,NP_014841.1
P38934,NM_001183617.1
Q06631,NP_010585.3
Q06631,NM_001180607.3
P15703,NP_011798.1
P15703,NM_001181411.1
P38813,NP_011969.1
P38813,NM_001179231.1
P11709,NP_009901.1
P11709,NM_001178674.1
P40013,NP_010932.1
P40013,NM_001178907.1
P53744,NP_014454.3
P53744,NM_001183233.3
P50277,NP_014456.1
P50277,NM_001183235.1
P32451,NP_011802.1
P32451,NM_001181415.1
P53630,NP_014455.1
P53630,NM_001183234.1
P16474,NP_012500.3
P16474,NM_001181468.3
P47134,NP_012622.3
P47134,NM_001181746.3
P38346,NP_009829.2
P38346,NM_001178618.2
P47041,NP_012477.1
P47041,NM_001181491.1
Q06071,NP_013512.1
Q06071,NM_001182296.1
Q06333,NP_010644.1
Q06333,NM_001180665.1
Q01532-2,NP_014160.2
Q01532-2,NM_001183077.1
P35727,NP_012862.1
P35727,NM_001179627.1
P43583,NP_116648.2
P43583,NM_001179959.1
P29311,NP_011104.3
P29311,NM_001179067.3
P34730,NP_010384.3
P34730,NM_001180407.3
Q08965,NP_015107.1
Q08965,NM_001184031.1
P38278,NP_009699.2
P38278,NM_001178489.2
P40493,NP_012170.1
P40493,NM_001179444.1
Q12291,NP_013164.1
Q12291,NM_001181950.1
P47039,NP_012475.3
P47039,NM_001181493.3
P41832,NP_014128.2
P41832,NM_001183109.2
P53858,NP_014166.1
P53858,NM_001183071.1
P53890,NP_014233.1
P53890,NM_001183004.1
P40450,NP_012107.1
P40450,NM_001179507.1
P50084,NP_011746.3
P50084,NM_001181359.3
P38041,NP_009468.1
P38041,NM_001178325.1
P39969,NP_011039.1
P39969,NM_001179004.1
Q3E793,NP_075206.1
Q3E793,NM_001184453.1
P53082,NP_011295.1
P53082,NM_001181085.1
P39724,NP_009353.1
P39724,NM_001178191.1
Q06150,NP_013369.1
Q06150,NM_001182154.1
P53958,NP_014356.1
P53958,NM_001182881.1
P53838,NP_014124.1
P53838,NM_001183113.1
P25385,NP_013179.1
P25385,NM_001181965.1
P25356,NP_009961.2
P25356,NM_001178746.1
P48445,NP_010140.1
P48445,NM_001180201.1
P14772,NP_013086.1
P14772,NM_001181835.1
Q07457,NP_010209.1
Q07457,NM_001180133.1
P43132,NP_013115.1
P43132,NM_001181902.1
Q07660,NP_010050.1
Q07660,NM_001180291.1
P53741,NP_014449.1
P53741,NM_001183228.1
P38770,NP_011901.1
P38770,NM_001179166.1
P48582,NP_015241.1
P48582,NM_001183898.1
Q99177,NP_015382.1
Q99177,NM_001184154.1
P32639,NP_011099.1
P32639,NM_001179062.1
P53062,NP_011267.1
P53062,NM_001181113.1
Q08235,NP_014565.2
Q08235,NM_001183331.2
Q12140,NP_010247.1
Q12140,NM_001180096.1
Q05611,NP_010561.1
Q05611,NM_001180583.1
P53841,NP_014130.1
P53841,NM_001183107.1
P53755,NP_014467.3
P53755,NM_001183246.3
Q08280,NP_014504.1
Q08280,NM_001183391.1
P38356,NP_009849.1
P38356,NM_001178638.1
Q06604,NP_015497.1
Q06604,NM_001184268.1
P43571,NP_116628.1
P43571,NM_001179941.1
P32333,NP_015243.1
P32333,NM_001183896.1
P47040,NP_012476.1
P47040,NM_001181492.1
P53286,NP_011658.3
P53286,NM_001181271.3
P41695,NP_011704.3
P41695,NM_001181317.3
P26448,NP_013771.1
P26448,NM_001182553.1
P26449,NP_014669.1
P26449,NM_001183445.1
P27637,NP_009408.3
P27637,NM_001178215.2
P39988,NP_010885.1
P39988,NM_001178844.1
P53727,NP_014424.1
P53727,NM_001183204.1
Q08004,NP_013175.1
Q08004,NM_001181961.1
Q08492,NP_014721.1
Q08492,NM_001183497.1
Q04347,NP_013727.1
Q04347,NM_001182510.1
P25627,NP_009976.1
P25627,NM_001178761.1
P85052,NP_076437.1
P85052,NM_001184456.1
P43573,NP_683715.1
P43573,NM_001179943.1
P33314,NP_012831.1
P33314,NM_001179658.1
P25337,NP_009990.1
P25337,NM_001178774.1
P53323,NP_011778.1
P53323,NM_001181391.1
P25558,NP_009914.2
P25558,NM_001178662.1
P47136,NP_012625.5
P47136,NM_001181749.3
P25300,NP_009967.2
P25300,NM_001178752.1
P41697,NP_013423.1
P41697,NM_001182208.1
Q08754,NP_014943.1
Q08754,NM_001183718.1
P41698,NP_013457.1
P41698,NM_001182242.1
P53226,NP_011555.3
P53226,NM_001181170.3
Q12191,NP_010184.1
Q12191,NM_001180158.1
P48524,NP_014002.1
P48524,NM_001182782.1
Q03758,NP_013596.1
Q03758,NM_001182473.1
P23293,NP_015487.1
P23293,NM_001184258.1
Q05949,NP_013327.1
Q05949,NM_001182113.1
P48558,NP_014094.1
P48558,NM_001183143.1
P36106,NP_012921.3
P36106,NM_001179571.3
P40580,NP_012302.3
P40580,NM_001179558.3
P38822,NP_011982.1
P38822,NM_001179244.1
P07245,NP_011720.3
