uidA,uidB,ConfidenceA,ConfidenceB,PPI_type,MMGBSA_1,MMGBSA_2,MMGBSA_3,MMGBSA_4,MMGBSA_5,MMGBSA_6,MMGBSA_7,MMGBSA_8,MMGBSA_9,MMGBSA_10,AVERAGE_3,AVERAGE_5,AVERAGE_10
Q9Y4K3,P0CG47,86.19,93.71,1,-56.28,-55.35,-45.72,-43.41,-33.92,-32.09,-30.19,-29.58,-26.66,-22,-52.45,-46.936,-37.52
O15111,P04350,84.64,92.24,1,-53.41,-37.52,-35.28,-33.96,-26.67,-24.73,-24.08,-23.94,-21.11,-14.63,-42.07,-37.368,-29.533
A0A140VK70,Q9Y4K3,80.46,86.19,1,-67.67,-61.43,-48.41,-47.67,-45.24,-43.87,-41.23,-40.53,-26.91,-20.01,-59.17,-54.084,-44.297
Q9UHD2,P04350,89.88,92.24,1,-49.22,-46.12,-43.39,-36.23,-34.06,-32.09,-30.84,-25.24,-22.02,-15.57,-46.24333333,-41.804,-33.478
Q9UBT7,Q00722,84.52,84.81,1,-50.52,-44.07,-42.28,-39.61,-34.72,-31.33,-30.65,-27.69,-13.08,-8.9,-45.62333333,-42.24,-32.285
B2RDW1,Q9Y4K3,89.19,86.19,1,-50.97,-47.99,-47.24,-41.48,-41.41,-37.65,-35.93,-32.77,-29.29,-28.59,-48.73333333,-45.818,-39.332
Q3ZCQ8,O14920,80.56,86.45,1,-61.04,-59.76,-51.1,-49.55,-47.77,-43.75,-42.61,-31.6,-31.33,-9.93,-57.3,-53.844,-42.844
A0A024R475,B2RNT7,88.45,82.42,1,-52.03,-41.15,-40.51,-35.9,-35.51,-32.99,-31.8,-25.15,-23.67,-13.44,-44.56333333,-41.02,-33.215
O15111,P19105,84.64,84.14,1,-54.18,-49.29,-47.71,-44.19,-40.78,-40.6,-31.37,-27.38,-25.75,-21.62,-50.39333333,-47.23,-38.287
P26998,A0A024R429,87.7,92.79,1,-63.48,-60.93,-59.28,-42.82,-39.87,-39.45,-38.5,-32.92,-21.55,-12.09,-61.23,-53.276,-41.089
P0DPH7,Q14164,91.52,88.66,1,-59.25,-50.75,-48.34,-44.56,-42.43,-39.48,-37.64,-31.4,-7.55,-3.9,-52.78,-49.066,-36.53
Q9UNE7,A0A024R8H5,89.79,87.27,1,-72.11,-64.56,-64.22,-50.06,-44.8,-44.72,-42.71,-36.96,-34.26,-2.65,-66.96333333,-59.15,-45.705
P11142,Q15628,89.18,84.91,1,-58.39,-52.29,-50.09,-45.63,-42.55,-38.73,-36.25,-31.54,-20.59,-15.13,-53.59,-49.79,-39.119
Q9Y4K3,P0DPH7,86.19,91.52,1,-68.22,-64.7,-53.04,-48.33,-45.8,-42.61,-30.36,-29.99,-17.59,-13.62,-61.98666667,-56.018,-41.426
A0A024R8H5,Q14164,87.27,88.66,1,-58.31,-56.2,-50.53,-48.2,-45.82,-43.42,-33.76,-24.36,-17.71,-15.19,-55.01333333,-51.812,-39.35
P0DPH7,O14920,91.52,86.45,1,-66.59,-55.82,-54.62,-44.65,-42.43,-35.24,-34.59,-25.2,-24.16,-13.35,-59.01,-52.822,-39.665
P43320,P43320,89.38,89.38,1,-72.12,-67.16,-65.59,-55.48,-52.91,-46.62,-41.65,-39.69,-36.99,-29.99,-68.29,-62.652,-50.82
P15535,P15291,84.82,85.25,1,-67.47,-62.68,-59.32,-58.61,-55.51,-55.12,-53.41,-52.94,-52.18,-47.57,-63.15666667,-60.718,-56.481
Q14164,Q14164,88.66,88.66,1,-93.2,-88.87,-74.75,-63.87,-60.59,-59.81,-50.33,-48.18,-37.33,-30.68,-85.60666667,-76.256,-60.761
P25963,P25963,82.58,82.58,1,-87.33,-85.11,-58.66,-44.16,-42.29,-40.22,-36.36,-31.97,-28.45,-18.52,-77.03333333,-63.51,-47.307
P63261,A0A024R8H5,95.34,87.27,1,-73.89,-38.7,-37.74,-33.97,-26.79,-23.93,-19.72,-11.3,-11.17,-4.42,-50.11,-42.218,-28.163
P22102,Q8IXJ6,92.65,82.86,1,-42.05,-41.74,-37.59,-34.76,-31.31,-31.07,-30.14,-15.06,-14.67,-14.46,-40.46,-37.49,-29.285
P11142,P25963,89.18,82.58,1,-52.31,-41.52,-38.36,-35.71,-30.73,-29.99,-27.32,-26.63,-26.52,-10.18,-44.06333333,-39.726,-31.927
P52907,Q9Y6K9,93.51,82.83,1,-62.04,-54.91,-48.98,-46.79,-42.5,-39.3,-39.28,-35.69,-28.1,-25.62,-55.31,-51.044,-42.321
Q9NTJ3,Q9Y6K9,81.9,82.83,1,-45.01,-39.47,-37.57,-36.99,-35.7,-30.88,-27.21,-25.45,-11.51,-5.35,-40.68333333,-38.948,-29.514
P48047,Q9Y6K9,83.36,82.83,1,-56.58,-51.58,-44.62,-39.7,-38.17,-33.19,-32.96,-30.34,-26.97,-21.33,-50.92666667,-46.13,-37.544
A0A024R8H5,P0CG47,87.27,93.71,1,-74.9,-47.46,-44.22,-40.64,-38.99,-36.53,-32.63,-29.28,-27.99,-23.68,-55.52666667,-49.242,-39.632
P60660,Q14164,95.37,88.66,1,-56.2,-52.84,-51.77,-50.48,-49.26,-47.79,-45.6,-43.03,-41.16,-38.89,-53.60333333,-52.11,-47.702
P11142,Q14164,89.18,88.66,1,-52.89,-50.51,-45.46,-44.5,-39.6,-36.35,-33.52,-32.55,-27.31,-25.12,-49.62,-46.592,-38.781
Q9BTW9,Q9Y6K9,90.55,82.83,1,-72.35,-63.94,-45.45,-41.15,-35.29,-34.68,-33.55,-27.85,-27.45,-3.06,-60.58,-51.636,-38.477
P07737,P60709,95.81,95.51,1,-51.09,-49.84,-39.61,-27.89,-27.27,-25.56,-21.44,-18.45,-17.38,-13.26,-46.84666667,-39.14,-29.179
A0A1U9X777,Q9BVK8,88.64,92.52,1,-91.09,-89.66,-85.17,-84.75,-82.51,-80.61,-73.47,-68.75,-66.3,-59.04,-88.64,-86.636,-78.135
Q9Y6K9,K9JA46,82.83,84.41,1,-57.18,-45.96,-43.39,-43.06,-29.68,-27.44,-23.69,-20.39,-17.15,-12.79,-48.84333333,-43.854,-32.073
Q9UHD2,K9JA46,89.88,84.41,1,-62.89,-39.96,-32.75,-26.88,-24.98,-20.57,-18.02,-14.35,-13.64,-9.21,-45.2,-37.492,-26.325
P05141,Q15628,91.43,84.91,1,-57.35,-52.38,-50.57,-50.1,-49.06,-46.15,-42.86,-37.03,-36.27,-30.26,-53.43333333,-51.892,-45.203
A0A140VK54,Q9Y3E7,83.4,81.92,1,-54.68,-52.51,-49.54,-35.5,-35.48,-34.64,-25.32,-21.13,-17.44,3964.21,-52.24333333,-45.542,363.797
B2R4C5,O14920,93.7,86.45,1,-55.68,-52.61,-51.83,-51.66,-43.06,-41.7,-39.5,-27.76,-27.73,-23.59,-53.37333333,-50.968,-41.512
P05213,P31689,91.96,83.35,1,-32.84,-28.56,-28.45,-24.88,-21.73,-20.54,-20.31,-19.24,-14.77,-0.66,-29.95,-27.292,-21.198
Q9Y6K9,P27708,82.83,87.41,1,-98.45,-90.16,-60.76,-52.07,-45.64,-43.42,-37.31,-34.26,-33.45,-28.35,-83.12333333,-69.416,-52.387
Q9UFF9,P62324,90.83,81.96,1,-54.11,-50.79,-45.94,-38.84,-36.8,-34.62,-24.81,-24.01,-13.01,-12.86,-50.28,-45.296,-33.579
A0A1U9X777,P03901,88.64,88.57,1,-80.05,-76.92,-74.66,-74.14,-70.3,-67.87,-60.24,-58.37,-54.56,-53.69,-77.21,-75.214,-67.08
P63208,Q9UKB1,90.26,86.14,1,-71.03,-58.76,-56.89,-55.78,-53.27,-52.28,-40.21,-33.88,-33.68,-14.75,-62.22666667,-59.146,-47.053
Q05639,Q15628,88.74,84.91,1,-57.4,-39.85,-35.78,-33.57,-30.06,-28.66,-26.56,-20.8,-20.62,-3.15,-44.34333333,-39.332,-29.645
Q9Y6K9,P0CG47,82.83,93.71,1,-71.77,-67.73,-56.48,-40.72,-38.36,-37.35,-35.91,-32.79,-25.59,-22.69,-65.32666667,-55.012,-42.939
P63208,P25963,90.26,82.58,1,-53.63,-48.82,-46.05,-38.82,-37.96,-33.74,-28.15,-26.66,-23.89,-9.77,-49.5,-45.056,-34.749
Q9UHD2,P50991,89.88,89.16,1,-43.34,-38.44,-36.06,-34.58,-33.6,-31.65,-29.32,-21.22,-19.18,-17.55,-39.28,-37.204,-30.494
Q14164,A0A384P5G6,88.66,84.94,1,-64.95,-44.23,-39.89,-37.96,-36.75,-31.3,-30.4,-28.58,-19.55,-6.86,-49.69,-44.756,-34.047
Q9UIV1,Q9ULM6,91.4,90.02,1,-58.92,-47.07,-44.4,-42.41,-36.66,-35.74,-33.46,-28.04,-17.96,-15.23,-50.13,-45.892,-35.989
Q9UHD2,Q9UHD2,89.88,89.88,1,-68.47,-64.47,-60.1,-59.6,-57.21,-41.93,-27.13,-26.25,-22.34,-10.12,-64.34666667,-61.97,-43.762
Q9Y6K9,Q05639,82.83,88.74,1,-48.12,-46.76,-29.09,-28.91,-27.76,-25.56,-17.78,-16.43,-13.44,7.65,-41.32333333,-36.128,-24.62
A0A024R8H5,Q05639,87.27,88.74,1,-60.06,-55.55,-45.79,-44.58,-44.42,-44.25,-39.9,-32.39,-28.14,-13.01,-53.8,-50.08,-40.809
Q9Y6K9,P61247,82.83,84.38,1,-43.39,-41.85,-31.7,-31.42,-30.73,-30.29,-29.68,-28.64,-28.56,-18.8,-38.98,-35.818,-31.506
Q9Y4K3,Q05639,86.19,88.74,1,-59.13,-50.77,-48.95,-47.99,-42.06,-30.24,-23.24,-20.86,-15.35,-12.61,-52.95,-49.78,-35.12
O15111,O15111,84.64,84.64,1,-66.61,-47.71,-45.48,-40.96,-35.22,-32.48,-29.44,-29.3,-28.83,-24.04,-53.26666667,-47.196,-38.007
P27708,Q15628,87.41,84.91,1,-56.52,-49.45,-47.26,-44.19,-41.6,-40.6,-35.91,-35,-26.01,-16.67,-51.07666667,-47.804,-39.321
Q9H9T3,P25963,92,82.58,1,-58.54,-49.34,-49.23,-48.57,-47.86,-39.74,-37.79,-36.39,-35.93,-28.91,-52.37,-50.708,-43.23
Q9UHD2,P11021,89.88,90.33,1,-61.43,-44.85,-42.64,-39.5,-37.02,-33.06,-32.78,-32.22,-28.57,-18.98,-49.64,-45.088,-37.105
Q06609,P27694,91.59,85.41,1,-57.94,-56.26,-54.38,-47.48,-43.25,-42.13,-30.65,-23.67,-21.47,-11.69,-56.19333333,-51.862,-38.892
P05556,E9KL35,86.03,89.39,1,-57.71,-56.33,-43.29,-41.83,-36.1,-35.26,-31.57,-31.34,-19.59,-4.8,-52.44333333,-47.052,-35.782
A0A024R8H5,P11021,87.27,90.33,1,-57.84,-40.38,-35.45,-33.12,-29,-28.8,-27.56,-22.64,-19.17,-9.03,-44.55666667,-39.158,-30.299
P63261,O15111,95.34,84.64,1,-51.18,-47.9,-35.89,-35.41,-34.08,-34.01,-29.01,-22.67,-16.62,-7.17,-44.99,-40.892,-31.394
Q9Y4K3,A0A140VJS3,86.19,81.39,1,-62.5,-50.89,-48.42,-45.74,-45.27,-44.33,-40.83,-37.69,-35.19,-25.98,-53.93666667,-50.564,-43.684
O15111,A0A024RD80,84.64,82.98,1,-59.11,-31.42,-23.9,-20.58,-17.74,-15.25,-11.23,-7.97,0.39,5.28,-38.14333333,-30.55,-18.153
Q06609,P07737,91.59,95.81,1,-59.56,-51.07,-49.38,-38.67,-38.07,-35.2,-26.31,-26.15,-19.32,2.91,-53.33666667,-47.35,-34.082
Q06609,P60709,91.59,95.51,1,-55.86,-48.53,-42.11,-38.39,-33.43,-29.67,-25.45,-24.52,-24.12,-14.47,-48.83333333,-43.664,-33.655
O15111,Q05639,84.64,88.74,1,-52.68,-47.95,-47.41,-40.35,-35.66,-33.74,-30.89,-24.7,-19.92,-18.51,-49.34666667,-44.81,-35.181
Q9UHD2,A0A384P5G6,89.88,84.94,1,-65.23,-56.85,-39.93,-36.72,-36.12,-31.7,-29.91,-16.31,-12.11,-1.85,-54.00333333,-46.97,-32.673
Q9UHD2,P62269,89.88,88.98,1,-51,-50.95,-50.02,-49.26,-46.22,-40.64,-40.43,-37.52,-15.19,-13.12,-50.65666667,-49.49,-39.435
Q9UHD2,A0A024R8H5,89.88,87.27,1,-54.82,-52.5,-47.56,-33.31,-23.78,-20.44,-16.11,-10.45,-6.89,-6.24,-51.62666667,-42.394,-27.21
P07437,O14920,91.86,86.45,1,-47.96,-43.27,-41.19,-40.08,-32.35,-25.89,-23.01,-22.15,-20.19,-6.01,-44.14,-40.97,-30.21
P43320,A0A024R429,89.38,92.79,1,-102.26,-76.52,-58.92,-56.84,-56.4,-43.11,-41.31,-39.08,-33.24,-24.55,-79.23333333,-70.188,-53.223
P43320,A0A0X8GLL6,89.38,96.4,1,-88.44,-78.63,-77.75,-70.6,-69.31,-63.17,-49.94,-39.02,-33.06,-30.81,-81.60666667,-76.946,-60.073
P53597,Q7LBR1,92.01,81.24,1,-67.6,-48.18,-47.44,-44.47,-43.12,-37.53,-35.71,-33.94,-22.58,-22.34,-54.40666667,-50.162,-40.291
Q99460,Q9Y4K3,80.33,86.19,1,-48.83,-48.24,-42.27,-36.85,-35.26,-35.21,-34.62,-21.71,-19.98,-19.15,-46.44666667,-42.29,-34.212
Q9UHD2,A0A024R4Q8,89.88,88.76,1,-56.79,-52.7,-47.98,-39.13,-31.37,-29.93,-29.61,-25.83,-17.13,-9.65,-52.49,-45.594,-34.012
Q9Y6K9,Q71UM5,82.83,93.16,1,-44.24,-41.53,-40.11,-36.85,-33.97,-28.91,-27.71,-27.08,-26.73,-20.29,-41.96,-39.34,-32.742
P55072,Q9Y4K3,83.37,86.19,1,-58.47,-55.55,-46.64,-42.21,-41.13,-39.22,-34.54,-28.12,-24.58,-19.01,-53.55333333,-48.8,-38.947
P25963,A0A384P5G6,82.58,84.94,1,-38.24,-36.18,-34.93,-34.83,-32.97,-32.27,-27.49,-24.93,-17.18,-12.04,-36.45,-35.43,-29.106
P07437,Q9Y4K3,91.86,86.19,1,-76.99,-60.26,-56.25,-52.45,-43.02,-42.2,-33.59,-32.44,-25.8,-16.3,-64.5,-57.794,-43.93
A0A1U9X777,O75391,88.64,85.69,1,-69.01,-47.83,-45.42,-40.18,-39.12,-38.6,-36.6,-31.04,-29.21,-23.83,-54.08666667,-48.312,-40.084
P26998,P26998,87.7,87.7,1,-62.77,-54.29,-48,-45.27,-43.01,-37.47,-30.74,-25.69,-24.93,-22.68,-55.02,-50.668,-39.485
K9JA46,O14920,84.41,86.45,1,-47.62,-42.74,-42.71,-38.88,-34.14,-31.05,-24.14,-18.54,-18.12,-15.18,-44.35666667,-41.218,-31.312
A0A1U9X7W7,Q9Y4K3,89.35,86.19,1,-71.45,-66.78,-54.06,-53.32,-50.79,-44.82,-38.02,-33.14,-27.66,-10.85,-64.09666667,-59.28,-45.089
A0A097PIJ6,P53674,90.01,82.37,1,-77.24,-56.71,-48.62,-46.73,-43.27,-41.76,-34.27,-33.53,-31.66,-25.15,-60.85666667,-54.514,-43.894
P12236,Q15628,91.79,84.91,1,-59.37,-53.12,-52.88,-49.92,-43.93,-37.97,-37.95,-37.01,-36.91,-29.12,-55.12333333,-51.844,-43.818
O15397,Q15628,87.36,84.91,1,-77.52,-74.76,-55.58,-54.88,-45.99,-43.85,-38.47,-19.67,-13.41,-11.66,-69.28666667,-61.746,-43.579
P05813,P26998,88.4,87.7,1,-63.36,-59.69,-58.35,-57.69,-36.46,-33.4,-32.33,-31.89,-31.69,-26.85,-60.46666667,-55.11,-43.171
Q9Y6K9,E9KL35,82.83,89.39,1,-58.94,-49.84,-37.76,-37.18,-33.05,-32.12,-31.25,-25.79,-24.58,-0.96,-48.84666667,-43.354,-33.147
A0A1U9X7W7,P25963,89.35,82.58,1,-52.04,-44.71,-44.1,-40.05,-38.45,-31.06,-24.94,-24.91,-13.69,-13.18,-46.95,-43.87,-32.713
Q9Y230,Q9UHD2,84.33,89.88,1,-67.34,-52.51,-49.78,-47.92,-44.98,-44.24,-36.92,-31.71,-24.08,6.32,-56.54333333,-52.506,-39.316
A4D0W0,Q9Y333,95.04,94.61,1,-96.91,-78.62,-59.89,-44.06,-43.98,-43.67,-40.32,-31.47,-30.63,-25.04,-78.47333333,-64.692,-49.459
A0A024R8H5,Q15628,87.27,84.91,1,-54.52,-50.63,-45.48,-38.61,-36.49,-36.48,-34.58,-33.14,-29.27,-15.27,-50.21,-45.146,-37.447
Q9Y6K9,P04843,82.83,90.73,1,-70.88,-69.02,-64.13,-52.84,-43.81,-38.27,-37.64,-31.04,-30.35,-28.07,-68.01,-60.136,-46.605
O15111,Q13451,84.64,92.88,1,-73.85,-54.43,-50.76,-50.3,-44.73,-40.07,-27.96,-24.65,-20.02,-17.34,-59.68,-54.814,-40.411
Q9Y230,A0A024R8H5,84.33,87.27,1,-63.32,-62.21,-60.52,-48.99,-43.98,-43.86,-43.84,-34.19,-28.01,-22.5,-62.01666667,-55.804,-45.142
P0DPH7,Q15628,91.52,84.91,1,-88.15,-70.81,-64.88,-56.2,-48.47,-44.87,-40.54,-35.02,-22.67,-21.96,-74.61333333,-65.702,-49.357
O15111,K9JA46,84.64,84.41,1,-33.6,-32.48,-26.36,-22.74,-17.98,-17.55,-12.61,-12.49,-0.15,5308.9,-30.81333333,-26.632,513.294
P41241,B2R6Q4,91.99,89.65,1,-58.52,-55.34,-51.21,-32.62,-28.47,-23.52,-21.61,-19.37,-7.26,6.8,-55.02333333,-45.232,-29.112
Q9Y4K3,P25789,86.19,93.26,1,-61.51,-51.15,-49.18,-48.96,-47.3,-44.92,-36.42,-35.51,-35.08,-30,-53.94666667,-51.62,-44.003
Q14974,Q15628,94.92,84.91,1,-74.63,-65,-47.59,-47.49,-43.3,-41.29,-33.99,-29.22,-25.11,-24.57,-62.40666667,-55.602,-43.219
O00411,P25963,83.78,82.58,1,-88.99,-56.27,-48.88,-43.58,-36.32,-34.54,-32.14,-28.22,-24.5,-18.06,-64.71333333,-54.808,-41.15
Q9Y6K9,P06576,82.83,85.83,1,-59.82,-47.12,-46.56,-45.88,-45.37,-36.25,-34.98,-25.85,-24.55,-23.94,-51.16666667,-48.95,-39.032
Q9UHD2,P78371,89.88,89.67,1,-59.58,-47.7,-44.83,-44.29,-42.58,-42.15,-37.06,-23.25,-23.13,-8.93,-50.70333333,-47.796,-37.35
Q9Y4K3,A0A140VJS6,86.19,96.42,1,-63.38,-51.23,-50.82,-46.85,-46.73,-44.95,-41.76,-41.63,-34.98,-32.82,-55.14333333,-51.802,-45.515
P25963,O14920,82.58,86.45,1,-74.2,-58.86,-52.26,-41.06,-39.96,-36.29,-35.82,-33.61,-28.93,-28.12,-61.77333333,-53.268,-42.911
P23396,Q15628,91.34,84.91,1,-60.11,-55.53,-46.84,-40.77,-38.73,-37.55,-35.02,-33.65,-21.97,-19.79,-54.16,-48.396,-38.996
Q9Y6K9,P0DPH7,82.83,91.52,1,-64.24,-46.83,-41.86,-37.12,-37.05,-34.16,-30.03,-18.19,-16.08,-11.2,-50.97666667,-45.42,-33.676
P05141,Q9Y6K9,91.43,82.83,1,-62.5,-53.05,-46.22,-37.27,-37.26,-36.97,-34.77,-27.42,-27.12,-23.98,-53.92333333,-47.26,-38.656
Q9Y4K3,A0A384P5G6,86.19,84.94,1,-77.07,-55.41,-54.68,-53.69,-50.67,-48.51,-36.58,-32.35,-31.72,-24.5,-62.38666667,-58.304,-46.518
Q9Y6K9,O00159,82.83,83.47,1,-61.51,-60.44,-59.87,-54.7,-44.98,-40.31,-38.23,-37.49,-37.19,-13.45,-60.60666667,-56.3,-44.817
A0A1U9X777,Q9UKJ0,88.64,81.06,1,-72.47,-71.7,-58.14,-57.31,-52.28,-50.85,-47.29,-36.38,-36.33,-36.21,-67.43666667,-62.38,-51.896
P11142,Q9UHD2,89.18,89.88,1,-58.8,-52.51,-40.33,-37.92,-31.53,-28.58,-24.93,-23.11,-21.57,-18.44,-50.54666667,-44.218,-33.772
Q9Y6K9,A0A024RCN6,82.83,86.45,1,-73.78,-72.73,-57.18,-41.6,-40.73,-32.99,-31.36,-21.78,-16.86,-13.92,-67.89666667,-57.204,-40.293
Q9Y6K9,P04350,82.83,92.24,1,-56.74,-49.25,-48.68,-46.57,-45.62,-40.58,-38.23,-24.87,-20.86,-14.13,-51.55666667,-49.372,-38.553
P05023,Q15628,88.7,84.91,1,-67.91,-67.69,-66.6,-64.77,-64.11,-54.35,-52.11,-43.63,-36.57,-19.39,-67.4,-66.216,-53.713
Q9Y6K9,A0A024R158,82.83,80.02,1,-36.98,-28.78,-27.86,-24.6,-24.27,-16,-12.19,-10.28,-4.32,5.98,-31.20666667,-28.498,-17.93
P07437,P25963,91.86,82.58,1,-48.11,-43.67,-34.69,-31.94,-30.68,-29.11,-26.87,-26.33,-15.58,-8.5,-42.15666667,-37.818,-29.548
Q9Y6K9,P25963,82.83,82.58,1,-64.19,-61.65,-55.86,-54.17,-48.04,-47.31,-46.08,-44.57,-32.13,-24.87,-60.56666667,-56.782,-47.887
P05141,P25963,91.43,82.58,1,-70.09,-64.97,-62.45,-61.52,-51.99,-51.62,-44.33,-42.73,-42.19,-42.07,-65.83666667,-62.204,-53.396
Q9Y6K9,P53621,82.83,85.08,1,-54.85,-48.16,-47.12,-45.04,-44.72,-30.91,-24.21,-19.3,-5.62,-4.26,-50.04333333,-47.978,-32.419
P62249,Q15628,93.87,84.91,1,-55.3,-43.31,-42.94,-36.83,-36.78,-34.86,-23.2,-19.4,-16.12,-13.11,-47.18333333,-43.032,-32.185
Q9Y6K9,Q9Y6K9,82.83,82.83,1,-86.54,-66.57,-66.23,-53.12,-42.27,-36.95,-32.63,-31.98,-31.96,-14.97,-73.11333333,-62.946,-46.322
A0A024R694,Q9HBI1,83.49,82.46,1,-71.15,-64.82,-37.94,-37.28,-36.51,-35.28,-35.22,-22.39,-8.38,-3.65,-57.97,-49.54,-35.262
Q9Y6K9,O15111,82.83,84.64,1,-68.1,-67.73,-53.08,-53.05,-52.81,-51.41,-44.52,-42.92,-38.51,-27.67,-62.97,-58.954,-49.98
A0A0S2Z590,O00299,88.16,94.25,1,-63.98,-58.53,-55.85,-40.24,-39.83,-37.32,-36.09,-31.99,-24.92,-23.42,-59.45333333,-51.686,-41.217
A0A024R6W2,Q14164,90.96,88.66,1,-74.23,-64.81,-54.11,-49.68,-49.28,-48.86,-44.4,-42.3,-41.07,-29.67,-64.38333333,-58.422,-49.841
Q9Y6K9,A0A384NKX5,82.83,88.81,1,-68.68,-59.59,-47.53,-44.67,-36.01,-29.04,-27.98,-25.04,-20.71,-5.93,-58.6,-51.296,-36.518
A0A024R8H5,O95816,87.27,86.84,1,-74.35,-73.58,-58.06,-53.91,-44.28,-40.93,-40.24,-38.79,-36.81,-26.88,-68.66333333,-60.836,-48.783
P11142,Q9Y6K9,89.18,82.83,1,-52.94,-41.18,-36.51,-36.46,-32.84,-25.89,-24.06,-21.22,-14.9,-1.92,-43.54333333,-39.986,-28.792
Q9Y6K9,P56192,82.83,90.47,1,-66.89,-57.77,-55.39,-46.48,-40.46,-39.5,-38.91,-38.35,-37.1,-30.57,-60.01666667,-53.398,-45.142
A0A024R8H5,P31689,87.27,83.35,1,-50.42,-43.27,-42.31,-38,-37.3,-36.89,-34.89,-17.93,-17.76,-8.71,-45.33333333,-42.26,-32.748
Q9Y6K9,P07437,82.83,91.86,1,-65.99,-61.27,-60.65,-50.97,-29.64,-28.29,-21.73,-17.79,-14.36,-4.94,-62.63666667,-53.704,-35.563
Q06609,P15927,91.59,80.68,1,-51.53,-50.17,-47.8,-44.41,-38.76,-38.18,-34.82,-33.6,-23.76,-21.07,-49.83333333,-46.534,-38.41
Q9Y6K9,P05937,82.83,81.57,1,-56.92,-55.75,-52.83,-50.2,-47.72,-46.07,-28.58,-25.58,-21.13,-17.64,-55.16666667,-52.684,-40.242
P62241,Q9UHD2,92.85,89.88,1,-68.17,-44.55,-41.92,-35.59,-33.82,-33.43,-28.15,-23.46,-21.94,-16,-51.54666667,-44.81,-34.703
Q9UHD2,P18124,89.88,94.06,1,-65.09,-57.88,-55.61,-50.33,-49.09,-44.13,-39,-35.75,-14.04,-11.83,-59.52666667,-55.6,-42.275
A8K4C8,Q9UHD2,95.34,89.88,1,-80.42,-68.3,-66.7,-56.69,-48.61,-45.86,-42.96,-40.08,-35.68,-33.07,-71.80666667,-64.144,-51.837
P53674,P53674,82.37,82.37,1,-76.25,-56.84,-53.94,-51.46,-43.1,-42.87,-38.95,-34.46,-25.16,-12.87,-62.34333333,-56.318,-43.59
